newspaper_date,date,description,asset,registered,coupons_on,interest_suspended,issuer,price_low,price_high,original_text,url,comment,past_due
1860-11-26,1860-11-26,gold,gold,0,0,0,Specie,1.08,1.1,Gold 8@10 per cent. prem.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0017%3Aarticle%3Dpos%3D56,,0
1860-11-27,1860-11-27,specie,specie,0,0,0,Specie,1.05,1.05,Specie is quoted at 5 per cent.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0018:article=pos=70,,0
1860-11-29,1860-11-29,Richmond City Bonds,richmond,0,0,0,Richmond,87,87,"Richmond City Bonds, sales $87.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0020:article=pos=86,,0
1860-11-29,1860-11-29,Virginia 6 per cent registered,virginia,1,0,0,Virginia,86,86,"Virginia 6 per cent. Registered Bonds, sales $86.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0020:article=pos=86,,0
1860-11-30,1860-11-30,gold,gold,0,0,0,specie,1.025,1.025,"The market is more easy. We quote Exchange on New York 5 per cent. premium; Philadelphia and Baltimore 2 ½ @ 3 per cent. premium. Gold 2 ½ premium. North and South Carolina notes 5 per cent, discount. Uncurrent Virginia solvent notes 2 per cent. discount.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0021:article=pos=84,,0
1860-12-06,1860-12-06,Richmond City Bonds,richmond,0,0,0,Richmond,87,87,"Richmond City Bonds, last sales $87",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0023%3Aarticle%3Dpos%3D61,,0
1860-12-06,1860-12-06,Virginia 6 per cent registered,virginia,1,0,0,Virginia,84,84,Virginia 6 per cent. Registered Bonds sales $34,http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0023%3Aarticle%3Dpos%3D61,,0
1861-01-02,1861-01-02,Richmond City Bonds,richmond,0,0,0,Richmond,87.5,87.5,"Richmond City Bonds, sales $87½.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0184:article=pos=115,,0
1861-01-02,1861-01-02,Virginia 6 per cent registered bonds,virginia,1,0,0,Virginia,80,80,"Virginia 6 per cent. Registered Bonds, sales $80.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0184:article=pos=115,,0
1861-01-10,1861-01-10,Richmond City Bonds,richmond,0,0,0,Richmond,87.5,89,"Richmond city bonds, sales $87 ½ to $89.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0190:article=pos=86,,0
1861-01-10,1861-01-10,specie,specie,0,0,0,Specie,1.035,1.04,Specie 3 ½@4 per cent. premium.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0190:article=pos=86,,0
1861-01-10,1861-01-10,Virginia 6 per cent registered bonds,virginia,1,0,0,Virginia,78,80,"Virginia 6 per cent. Registered bonds, sales $78 to $80.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0190:article=pos=86,,0
1861-01-14,1861-01-14,specie,specie,0,0,0,Specie,1.035,1.04,Specie 3½@4 per cent. premium.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0193:article=pos=71&highlight=richmond+markets%2C,,0
1861-01-17,1861-01-17,Richmond City Bonds,richmond,0,0,0,Richmond,87.5,87.5,"Richmond City Bonds, sales $87 ½",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0196:article=pos=92,,0
1861-01-17,1861-01-17,specie,specie,0,0,0,Specie,1.035,1.04,"Specie 3 ½@4 per cent, premium",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0196:article=pos=91,,0
1861-01-17,1861-01-17,Virginia 6 per cent registered bonds,virginia,1,0,0,Virginia,78.5,80,"Virginia 6 per cent, Registered Bonds sales $78 ½ to $80. --",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0196:article=pos=92,,0
1861-01-21,1861-01-21,specie,specie,0,0,0,Specie,1.035,1.04,"Specie 3 ½@4 per cent, premium.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0026:article=pos=125&highlight=money+matters%2C,,0
1861-01-24,1861-01-24,Richmond City Bonds,richmond,0,0,0,Richmond,90,90,"Richmond City Bonds, sales $90.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0029:article=pos=81,,0
1861-01-24,1861-01-24,specie,specie,0,0,0,Specie,1.04,1.05,Specie 4@5 per cent. premium.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0029:article=pos=81,,0
1861-01-24,1861-01-24,Virginia 6 per cent,virginia,0,0,0,Virginia,81,81,"Virginia 6 per cent. Registered Bonds, sales $81.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0029:article=pos=81,,0
1861-01-29,1861-01-29,specie,specie,0,0,0,Specie,1.04,1.05,Specie 4@5 per cent. premium.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0032:article=pos=79,,0
1861-01-31,1861-01-31,Richmond City Bonds,richmond,0,0,0,Richmond,90,90,"Richmond City Bonds, sales $90.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0035%3Aarticle%3Dpos%3D101,,0
1861-01-31,1861-01-31,specie,specie,0,0,0,Specie,1.045,1.055,Specie 4 ½@5 ½ per cent. Premium.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0035:article=pos=100,,0
1861-01-31,1861-01-31,Virginia 6 per cent registered,virginia,1,0,0,Virginia,81,81,"Virginia 6 per cent. Registered Bonds, sales $81.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0035%3Aarticle%3Dpos%3D101,,0
1861-02-04,1861-02-04,specie,specie,0,0,0,Specie,1.045,1.055,Specie 4 ½@5 ½ per cent premium.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0038:article=pos=73,,0
1861-02-07,1861-02-07,Richmond City Bonds   ,richmond,0,0,0,Richmond,90,90,"Richmond City Bonds, last sales $90.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0039%3Aarticle%3Dpos%3D102,,0
1861-02-07,1861-02-07,specie,specie,0,0,0,Specie,1.045,1.055,Specie 4 ½@5 ½ per cent premium.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0039:article=pos=101,,0
1861-02-07,1861-02-07,Virginia 6 per cent registered,virginia,1,0,0,Virginia,79,80,"Virginia 6 per cent. Registered Bonds, sales $79 held at $80.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0039%3Aarticle%3Dpos%3D102,,0
1861-02-14,1861-02-14,Richmond City Bonds,richmond,0,0,0,Richmond,90,90,"Richmond City Bonds, sales $90.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0044%3Aarticle%3Dpos%3D83,,0
1861-02-14,1861-02-14,specie,specie,0,0,0,Specie,1.045,1.05,specie 4 ½@5 per cent. Premium.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0044:article=pos=82,,0
1861-02-14,1861-02-14,Virginia 6 per cent registered,virginia,1,0,0,Virginia,81,81,"Virginia 6 per cent. Registered Bonds, sales $81.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0044%3Aarticle%3Dpos%3D83,,0
1861-02-21,1861-02-21,Richmond City Bonds,richmond,0,0,0,Richmond,90,90,"Richmond City Bonds, sales $90.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0051%3Aarticle%3Dpos%3D63,,0
1861-02-21,1861-02-21,specie,specie,0,0,0,Specie,1.05,1.05,"Specie 5 per cent, premium.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0051%3Aarticle%3Dpos%3D63,,0
1861-02-21,1861-02-21,Virginia 6 per cent reigstered,virginia,0,0,0,Virginia,81,81,"Virginia 6 per cent. Registered Bonds, sales $81.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0051%3Aarticle%3Dpos%3D63,,0
1861-02-25,1861-02-25,specie,specie,0,0,0,Specie,1.05,1.05,Speciate 5 per cent. premium.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0054:article=pos=86,,0
1861-03-07,1861-03-07,Richmond City Bonds,richmond,0,0,0,Richmond,90,90,"Richmond City Bonds, last sales $90.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0062:article=pos=73,,0
1861-03-07,1861-03-07,specie,specie,0,0,0,Specie,1.05,1.05,Specie 5 per cent. Premium.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0062:article=pos=73,,0
1861-03-07,1861-03-07,Virginia 6 per cent registered,virginia,1,0,0,Virginia,80.5,80.5,"Virginia 6 per cent. Registered Bonds, sales $80½.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0062:article=pos=73,,0
1861-03-14,1861-03-14,Richmond City Bonds,richmond,0,0,0,Richmond,92,92,"Richmond City Bonds, $92 offered.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0068:article=pos=118,,0
1861-03-14,1861-03-14,specie,specie,0,0,0,Specie,1.05,1.05,Specie 5 per cent. premium.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0068:article=pos=118,,0
1861-03-14,1861-03-14,Virginia 6 per cent registered,virginia,1,0,0,Virginia,84,84,"Virginia 6 per cent. Registered Bonds, sales $84.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0068:article=pos=118,,0
1861-03-21,1861-03-21,Richmond City Bonds,richmond,0,0,0,Richmond,93,93,"Richmond City Bonds, sales $93.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0074%3Aarticle%3Dpos%3D88,,0
1861-03-21,1861-03-21,specie,specie,0,0,0,Specie,1.04,1.05,Specie buying at 4 and selling at 5 per cent. premium,http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0074%3Aarticle%3Dpos%3D87,,0
1861-03-21,1861-03-21,Virginia 6 per cent registered,virginia,1,0,0,Virginia,83,84,"Virginia 6 per cent. Registered Bonds, sales $83 to $84.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0074%3Aarticle%3Dpos%3D88,,0
1861-03-28,1861-03-28,specie,specie,0,0,0,Specie,1.025,1.05,Speckle buying at 2½ and selling at 4½@5 per cent. premium.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0080:article=pos=82,,0
1861-04-04,1861-04-04,Richmond City Bonds,richmond,0,0,0,Richmond,94,94,"Richmond City Bonds, last sales $54.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0086%3Aarticle%3Dpos%3D92,Probably an OCR error; changed to 94.,0
1861-04-04,1861-04-04,specie,specie,0,0,0,Specie,1.025,1.04,Specie buying at 2½ to 3 and selling at 3½@4 per ct. premium.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0086:article=pos=91,,0
1861-04-04,1861-04-04,Virginia 6 per cent registered,virginia,1,0,0,Virginia,62,81,"Virginia 6 per cent. Registered Bonds, sales $81 to $62.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0086%3Aarticle%3Dpos%3D92,,0
1861-04-04,1861-04-04,Virginia 6 per cent registered bonds,virginia,1,0,0,Virginia,81,62,sales,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0086:article=pos=92,,0
1861-04-11,1861-04-11,Richmond City Bonds,richmond,0,0,0,Richmond,94,94,last sales,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0092:article=pos=70,,0
1861-04-11,1861-04-11,Virginia 6 per cent registered bonds,virginia,1,0,0,Virginia,77,80,sales,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0092:article=pos=70,,0
1861-04-18,1861-04-18,Richmond City Bonds,richmond,0,0,0,Richmond,94,94,last sales,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0098:article=pos=110,,0
1861-04-18,1861-04-18,specie,specie,0,0,0,Specie,1.07,1.1,Specie buying at 7 and selling at 9@10 per ct. Premium.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0098:article=pos=109,,0
1861-04-18,1861-04-18,Virginia 6 per cents,virginia,0,0,0,Virginia,65,65,sales,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0098:article=pos=110,,0
1861-04-25,1861-04-25,Richmond City Bonds,richmond,0,0,0,Richmond,94,94,last sales,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0103:article=pos=104,,0
1861-04-25,1861-04-25,Virginia 6 per cents,virginia,0,0,0,Virginia,65,65,sales,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0103:article=pos=104,,0
1861-05-02,1861-05-02,Richmond City Bonds,richmond,0,0,0,Richmond,85,85,"Richmond City Bonds, last sales offered at $85",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0109%3Aarticle%3Dpos%3D111,,0
1861-05-02,1861-05-02,Virginia 6 per cent registered,virginia,1,0,0,Virginia,59,60,"Virginia 6 per cent. Registered Bonds, sales $59@$60.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0109%3Aarticle%3Dpos%3D111,,0
1861-05-09,1861-05-09,Richmond City Bonds,richmond,0,0,0,Richmond,85,85,last sales offered,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0115:article=pos=91,,0
1861-05-09,1861-05-09,Virginia 6 per cent registered bonds,virginia,1,0,0,Virginia,59,60,sales,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0115:article=pos=91,,0
1861-05-16,1861-05-16,Richmond City Bonds,richmond,0,0,0,Richmond,85,85,offered,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0121:article=pos=98,,0
1861-05-16,1861-05-16,Virginia 6 per cent registered bonds,virginia,1,0,0,Virginia,59,60,sales,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0121:article=pos=98,,0
1861-10-16,1861-10-16,gold,gold,0,0,0,Specie,1.12,1.15,The brokers are selling silver and gold at 15 cents and buying at 12 --very scarce.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0299%3Aarticle%3Dpos%3D29,,0
1861-11-06,1861-11-06,gold,gold,0,0,0,Specie,1.15,1.21,"The brokers are buying silver at 12 cents, and holding at 15 cents; gold at 15 cents, and selling at 18@21cents.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0317:article=pos=41&highlight=richmond+markets%2C,,0
1861-11-06,1861-11-06,silver,silver,0,0,0,Specie,1.12,1.15,"The brokers are buying silver at 12 cents, and holding at 15 cents; gold at 15 cents, and selling at 18@21cents.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0317:article=pos=41&highlight=richmond+markets%2C,,0
1861-11-13,1861-11-13,gold,gold,0,0,0,Specie,1.15,1.2,"The brokers are buying silver at 12 cents, and selling at 5 cents: gold at 15 cents, and",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0323:article=pos=81,,0
1861-11-13,1861-11-13,silver,silver,0,0,0,Specie,1.12,1.15,"The brokers are buying silver at 12 cents, and selling at 5 cents: gold at 15 cents, and",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0323:article=pos=81,,0
1861-11-20,1861-11-20,gold,gold,0,0,0,Specie,1.15,1.2,"The brokers are buying silver at 12 cents, and selling at 15 cents; gold at 15 cents, and selling at 18@20 cents.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0328:article=pos=63,,0
1861-11-20,1861-11-20,silver,silver,0,0,0,Specie,1.12,1.15,"The brokers are buying silver at 12 cents, and selling at 15 cents; gold at 15 cents, and selling at 18@20 cents.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0328:article=pos=63,,0
1861-12-12,1861-12-12,gold,gold,0,0,0,Specie,1.3,1.35,"The brokers buy silver com at 25 per cent, prem and sell it at 30; they buy gold at 30, and sell it at 35 per cent. prem.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0347:article=pos=56,,0
1861-12-12,1861-12-12,silver,silver,0,0,0,Specie,1.25,1.3,"The brokers buy silver com at 25 per cent, prem and sell it at 30; they buy gold at 30, and sell it at 35 per cent. prem.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0347:article=pos=56,,0
1862-01-13,1862-01-13,gold,gold,0,0,0,Specie,1.23,1.28,Silver is quoted at from 15 to 25 premium and Gold 23 to 28 premium. But little of either offering and less of silver than of gold. The former is not in demand.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0373:article=pos=48,,0
1862-01-13,1862-01-13,silver,silver,0,0,0,Specie,1.15,1.25,Silver is quoted at from 15 to 25 premium and Gold 23 to 28 premium. But little of either offering and less of silver than of gold. The former is not in demand.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0373:article=pos=48,,0
1862-01-16,1862-01-16,Confederate States Bonds (100 mn),confederate_100mn,0,0,0,Confederacy,100,100,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43,,0
1862-01-16,1862-01-16,Confederate States Bonds (15 mn),confederate_15mn,0,0,0,Confederacy,101,101,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43,,0
1862-01-16,1862-01-16,North Carolina State Bonds,north_carolina_6_old,0,0,0,North Carolina,87,87,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43,,0
1862-01-16,1862-01-16,Petersburg City Bonds,petersburg,0,0,0,Petersburg,92.5,92.5,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43,,0
1862-01-16,1862-01-16,Richmond City Bonds,richmond,0,0,0,Richmond,95,95,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43,,0
1862-01-16,1862-01-16,gold,gold,0,0,0,Specie,1.23,1.28,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43,,0
1862-01-16,1862-01-16,silver,silver,0,0,0,Specie,1.15,1.2,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43,,0
1862-01-16,1862-01-16,Tennessee State bonds (interest suspended),tennessee,0,0,1,Tennessee,60,60,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43,,0
1862-01-16,1862-01-16,Virginia 6 per cent registered bonds,virginia,1,0,0,Virginia,85.5,85.5,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43,OCR error?,0
1862-01-23,1862-01-23,Confederate States Bonds (100 mn),confederate_100mn,0,0,0,Confederacy,100,100,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0385:article=pos=50,,0
1862-01-23,1862-01-23,North Carolina State Bonds,north_carolina_6_old,0,0,0,North Carolina,87.5,87.5,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0385:article=pos=50,,0
1862-01-23,1862-01-23,Richmond City Bonds,richmond,0,0,0,Richmond,95,95,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0385:article=pos=50,,0
1862-01-23,1862-01-23,Tennessee State bonds (interest suspended),tennessee,0,0,1,Tennessee,60,60,"Tennessee State bonds--(interest suspended,) last sales, 60.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0385:article=pos=50,,0
1862-01-23,1862-01-23,Virginia State Stock,virginia,0,0,0,Virginia,86,86,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0385:article=pos=50,,0
1862-01-27,1862-01-27,gold,gold,0,0,0,Specie,1.23,1.28,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0385:article=pos=50,,0
1862-01-27,1862-01-27,silver,silver,0,0,0,Specie,1.15,1.2,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0385:article=pos=50,,0
1862-01-30,1862-01-30,Confederate States Bonds (100 mn),confederate_100mn,0,0,0,Confederacy,100,100,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0388:article=pos=38,,0
1862-01-30,1862-01-30,North Carolina State Bonds,north_carolina_6_old,0,0,0,North Carolina,87.5,87.5,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0388:article=pos=38,,0
1862-01-30,1862-01-30,Richmond City Bonds,richmond,0,0,0,Richmond,98,98,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0388:article=pos=38,,0
1862-01-30,1862-01-30,gold,gold,0,0,0,Specie,1.23,1.28,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0388:article=pos=38,,0
1862-01-30,1862-01-30,silver,silver,0,0,0,Specie,1.15,1.2,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0388:article=pos=38,,0
1862-01-30,1862-01-30,Tennessee State bonds (interest suspended),tennessee,0,0,1,Tennessee,60,60,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0388:article=pos=38,,0
1862-01-30,1862-01-30,Virginia State Stock,virginia,0,0,0,Virginia,86,86,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0388:article=pos=38,,0
1862-02-06,1862-02-06,Confederate Bonds (100 mn),confederate_100mn,0,0,0,Confederacy,100,100,"Confederate States bonds--$100,000,000 issue--100 and interest.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0394:article=pos=41,,0
1862-02-06,1862-02-06,Confederate (5 mn),confederate_15mn,0,0,0,Confederacy,100,100,"Confederate State Bonds--$5,000,000--$100 and interest.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0394:article=pos=41,,0
1862-02-06,1862-02-06,North Carolina State Bonds,north_carolina_6_old,0,0,0,North Carolina,87,87,North Carolina State bonds — sales 87,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0394:article=pos=41,,0
1862-02-06,1862-02-06,Petersburg City Bonds,petersburg,0,0,0,Petersburg,92.5,92.5,Petersburg City Bonds — sales 92½,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0394:article=pos=41,,0
