date,url,issue,city,rate_low,rate_high,currency,comment
1863-03-28,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,157,161,TRUE,
1863-04-04,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,168,172,TRUE,
1863-04-11,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,158,162,TRUE,
1863-04-18,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,165,167.5,TRUE,
1863-04-25,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,163,165,TRUE,
1863-05-02,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,163,165,TRUE,
1863-05-09,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,168,170,TRUE,
1863-05-16,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,162.5,164,TRUE,
1863-05-23,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,161,163,TRUE,
1863-05-30,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,156.5,158,TRUE,
1863-06-06,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,158.5,160,TRUE,
1863-06-13,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,156,161,TRUE,
1863-06-20,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,155,157,TRUE,
1863-06-27,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,159,160.5,TRUE,
1863-07-11,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,143,146,TRUE,
1863-07-18,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,138,139,TRUE,
1863-07-25,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,138,139,TRUE,
1863-08-01,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,140,141.75,TRUE,
1863-08-08,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,139.5,140.5,TRUE,
1863-08-15,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,137.5,138.5,TRUE,
1863-08-22,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,137.5,138.25,TRUE,
1863-08-29,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,135.5,136.75,TRUE,
1863-09-05,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,141,147,TRUE,
1863-09-12,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,142,144.5,TRUE,
1863-09-19,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,146,147.5,TRUE,
1863-09-26,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,151,152.5,TRUE,
1863-10-03,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,154.5,157.5,TRUE,
1863-10-10,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,160.5,162,TRUE,
1863-10-17,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,168.5,172,TRUE,
1863-10-24,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,158,159,TRUE,
1863-10-31,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,158.5,159.75,TRUE,
1863-11-07,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,161,163,TRUE,
1863-11-14,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,161,162,TRUE,
1863-11-21,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,168,169.5,TRUE,
1863-11-28,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,157,158,TRUE,
1863-12-05,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,160,161.5,TRUE,
1863-12-12,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,164,165,TRUE,
1863-12-19,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,164,166,TRUE,
1863-12-26,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,165.5,166.25,TRUE,
1864-01-02,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,166,166.5,TRUE,
1864-01-09,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,166.5,167.75,TRUE,
1864-01-16,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,169.5,170.75,TRUE,
1864-01-23,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,170,171,TRUE,
1864-01-30,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,171,172,TRUE,
1864-02-06,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,174,175,TRUE,
1864-02-13,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,173,174.5,TRUE,
1864-02-20,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,172.5,174,TRUE,
1864-02-27,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,173.5,174,TRUE,
1864-03-05,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,174.5,175.75,TRUE,
1864-03-12,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,177,178,TRUE,
1864-03-19,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,176,177,TRUE,
1864-03-26,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,179.5,182,TRUE,
1864-04-02,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,177.5,181,TRUE,
1864-04-09,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,184,185,TRUE,
1864-04-16,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,189,191,TRUE,
1864-04-23,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,190,192,TRUE,
1864-04-30,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,195,198,TRUE,
1864-05-07,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,192,195,TRUE,
1864-05-14,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,192,197,TRUE,
1864-05-21,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,196,198,TRUE,
1864-05-28,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA65,Jan 1865,London,201,203.5,TRUE,
1864-06-04,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,218,220,TRUE,
1864-06-11,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,215,218,TRUE,
1864-06-18,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,216,219,TRUE,
1864-06-25,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,235,238,TRUE,
1864-07-02,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,270,295,TRUE,
1864-07-09,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,292,298,TRUE,
1864-07-16,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,268,290,TRUE,
1864-07-23,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,273,282,TRUE,
1864-07-30,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,270,274.5,TRUE,
1864-08-06,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,279,283,TRUE,
1864-08-13,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,274,277,TRUE,
1864-08-20,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,278,279.25,TRUE,
1864-08-27,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,275,276,TRUE,
1864-09-03,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,260,275,TRUE,
1864-09-10,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,253,256,TRUE,
1864-09-17,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,245,248.5,TRUE,
1864-09-24,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,230,240,TRUE,
1864-10-01,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,208,210,TRUE,
1864-10-08,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,210,218,TRUE,
1864-10-15,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,218,230,TRUE,
1864-10-22,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,108.75,109.5,FALSE,
1864-10-29,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,108.75,109,FALSE,
1864-11-05,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,109.25,109.75,FALSE,
1864-11-12,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,109.25,109.75,FALSE,
1864-11-19,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,109.5,109.75,FALSE,
1864-11-26,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,109.5,109.75,FALSE,
1864-12-03,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,109.25,109.75,FALSE,
1864-12-12,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,109.375,109.625,FALSE,
1864-12-19,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,109.5,109.625,FALSE,
1864-12-26,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jan 1865,London,109.25,109.75,FALSE,
1865-01-07,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108.25,109.75,FALSE,
1865-01-14,http://books.google.com/books?id=Wl9JAAAAMAAJ&pg=PA66,Jul 1865,London,108.5,109.375,FALSE,
1865-01-21,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108.5,109.75,FALSE,
1865-01-28,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108.5,109.75,FALSE,
1865-02-04,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108,109.625,FALSE,
1865-02-11,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108.5,109,FALSE,
1865-02-18,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,107,108.75,FALSE,
1865-02-25,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108,108.5,FALSE,
1865-03-04,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108,108.5,FALSE,
1865-03-11,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,107.75,108.25,FALSE,
1865-03-18,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,109.5,109.75,FALSE,
1865-03-25,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,109,109.5,FALSE,
1865-04-01,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,109.5,109.625,FALSE,
1865-04-08,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108.375,109.5,FALSE,
1865-04-15,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108.875,109.25,FALSE,
1865-04-22,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,109.25,109.75,FALSE,
1865-04-29,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,109,109.5,FALSE,
1865-05-05,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108.5,109.625,FALSE,
1865-05-12,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108.5,109.625,FALSE,
1865-05-19,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108.5,109.5,FALSE,
1865-05-26,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108.75,109.75,FALSE,
1865-06-02,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,109,109.875,FALSE,
1865-06-09,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,109.5,110,FALSE,
1865-06-16,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,109,109.75,FALSE,
1865-06-23,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108.75,109.5,FALSE,
1865-06-30,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108,109,FALSE,
1865-07-07,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA47,Jul 1865,London,108,108.75,FALSE,
1865-07-14,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA139,Aug 1865,London,109,109.25,FALSE,
1865-07-21,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA139,Aug 1865,London,108.75,109,FALSE,
1865-07-28,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA139,Aug 1865,London,108.625,109,FALSE,
1865-08-05,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA229,Sept 1865,London,108.25,108.5,FALSE,
1865-08-12,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA229,Sept 1865,London,108.875,109.25,FALSE,
1865-08-19,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA229,Sept 1865,London,109.75,109.875,FALSE,
1865-08-26,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA229,Sept 1865,London,109.5,109.625,FALSE,
1865-09-02,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA377,Nov 1865,London,109.25,109.625,FALSE,
1865-09-09,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA377,Nov 1865,London,109.375,109.625,FALSE,
1865-09-16,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA377,Nov 1865,London,109.25,109.5,FALSE,
1865-09-23,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA377,Nov 1865,London,109.875,110,FALSE,
1865-09-30,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA377,Nov 1865,London,109.5,110,FALSE,
1865-10-07,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA377,Nov 1865,London,109.75,110,FALSE,
1865-10-14,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA377,Nov 1865,London,108.375,109.25,FALSE,
1865-10-21,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA377,Nov 1865,London,109.25,109.5,FALSE,
1865-10-28,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA377,Nov 1865,London,108.375,109,FALSE,
1865-11-04,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA463,Dec 1865,London,107.5,108.25,FALSE,
1865-11-11,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA463,Dec 1865,London,107,107.75,FALSE,
1865-11-18,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA463,Dec 1865,London,108.25,108.5,FALSE,
1865-11-25,http://books.google.com/books?id=c19JAAAAMAAJ&pg=PA463,Dec 1865,London,108.25,108.75,FALSE,
1865-12-01,http://books.google.com/books?id=3mhJAAAAMAAJ&pg=PA85,Jan 1866,London,109.125,109.75,FALSE,reversed high and low
1865-12-08,http://books.google.com/books?id=3mhJAAAAMAAJ&pg=PA85,Jan 1866,London,109,109.25,FALSE,
1865-12-15,http://books.google.com/books?id=3mhJAAAAMAAJ&pg=PA85,Jan 1866,London,109.25,109.375,FALSE,
1865-12-22,http://books.google.com/books?id=3mhJAAAAMAAJ&pg=PA85,Jan 1866,London,109.25,109.375,FALSE,
