series,issue,date,url,volume,value,is_clean,adjust_gold,adjust_currency,notes
"California 7 per cents, 1870",1856-02-23,1856-02-01,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750,10,84,0,,,
"California 7 per cents, 1870",1856-02-23,1856-02-08,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750,10,85,0,,,
"California 7 per cents, 1870",1856-02-23,1856-02-15,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750,10,89,0,,,
"California 7 per cents, 1870",1856-02-23,1856-02-22,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750,10,89.25,0,,,
"California 7 per cents, 1870",1856-04-26,1856-03-07,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911,10,90,0,,,
"California 7 per cents, 1870",1856-04-26,1856-03-14,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911,10,89,0,,,
"California 7 per cents, 1870",1856-04-26,1856-03-21,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911,10,90,0,,,
"California 7 per cents, 1870",1856-04-26,1856-03-28,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911,10,89,0,,,
"California 7 per cents, 1870",1856-04-26,1856-04-04,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911,10,89,0,,,
"California 7 per cents, 1870",1856-04-26,1856-04-11,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911,10,89,0,,,
"California 7 per cents, 1870",1856-04-26,1856-04-18,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911,10,89,0,,,
"California 7 per cents, 1870",1856-04-26,1856-04-25,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911,10,90,0,,,
"California 7 per cents, 1870",1856-05-28,1856-05-02,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA989,10,88,0,,,
"California 7 per cents, 1870",1856-06-25,1856-05-09,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA79,11,89,0,,,
"California 7 per cents, 1870",1856-06-25,1856-05-16,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA79,11,87,0,,,
"California 7 per cents, 1870",1856-06-25,1856-05-23,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA79,11,86.5,0,,,
"California 7 per cents, 1870",1856-06-25,1856-05-30,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA79,11,86.5,0,,,
"California 7 per cents, 1870",1856-06-25,1856-06-06,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA79,11,86.25,0,,,
"California 7 per cents, 1870",1856-06-25,1856-06-13,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA79,11,88,0,,,
"California 7 per cents, 1870",1856-06-25,1856-06-20,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA79,11,74,0,,,
"California 7 per cents, 1870",1856-08-26,1856-06-27,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA238,11,74,0,,,
"California 7 per cents, 1870",1856-08-26,1856-07-11,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA238,11,88.5,0,-3.5,,Appears to include Jul coupon
"California 7 per cents, 1870",1856-08-26,1856-07-18,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA238,11,77,0,,,
"California 7 per cents, 1870",1856-08-26,1856-07-25,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA238,11,69.5,0,,,
"California 7 per cents, 1870",1856-09-23,1856-08-08,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA316,11,75,0,,,
"California 7 per cents, 1870",1856-09-23,1856-08-15,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA316,11,76,0,,,
"California 7 per cents, 1870",1856-09-23,1856-08-22,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA316,11,80,0,,,
"California 7 per cents, 1870",1856-08-26,1856-08-23,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA238,11,80,0,,,
"California 7 per cents, 1870",1856-09-23,1856-08-29,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA316,11,78,0,,,
"California 7 per cents, 1870",1856-09-23,1856-09-05,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA316,11,80,0,,,
"California 7 per cents, 1870",1856-09-23,1856-09-12,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA316,11,80,0,,,
"California 7 per cents, 1870",1856-09-23,1856-09-19,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA316,11,82,0,,,
"California 7 per cents, 1870",1856-10-23,1856-09-26,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA415,11,82,0,,,
"California 7 per cents, 1870",1856-10-23,1856-10-03,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA415,11,79,0,,,
"California 7 per cents, 1870",1856-10-23,1856-10-10,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA415,11,76,0,,,
"California 7 per cents, 1870",1856-10-23,1856-10-17,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA415,11,,0,,,
"California 7 per cents, 1870",1856-11-24,1856-10-24,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA495,11,72,0,,,
"California 7 per cents, 1870",1856-11-24,1856-10-31,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA495,11,72,0,,,
"California 7 per cents, 1870",1856-11-24,1856-11-07,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA495,11,72,0,,,
"California 7 per cents, 1870",1856-11-24,1856-11-14,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA495,11,73,0,,,
"California 7 per cents, 1870",1856-11-24,1856-11-21,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA495,11,73.5,0,,,
"California 7 per cents, 1870",1856-12-26,1856-11-28,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA575,11,75,0,,,
"California 7 per cents, 1870",1856-12-26,1856-12-05,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA575,11,77,0,,,
"California 7 per cents, 1870",1856-12-26,1856-12-12,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA575,11,81.75,0,,,
"California 7 per cents, 1870",1856-12-26,1856-12-19,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA575,11,81.25,0,,,
"California 7 per cents, 1870",1857-03-24,1857-02-06,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831,11,65,0,,,
"California 7 per cents, 1870",1857-03-24,1857-02-13,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831,11,66.5,0,,,
"California 7 per cents, 1870",1857-03-24,1857-02-20,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831,11,65,0,,,
"California 7 per cents, 1870",1857-03-24,1857-02-27,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831,11,66,0,,,
"California 7 per cents, 1870",1857-03-24,1857-03-06,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831,11,67.5,0,,,
"California 7 per cents, 1870",1857-03-24,1857-03-13,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831,11,65.5,0,,,
"California 7 per cents, 1870",1857-03-24,1857-03-20,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831,11,64.5,0,,,
"California 7 per cents, 1870",1857-04-24,1857-03-27,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA911,11,64.5,0,,,
"California 7 per cents, 1870",1857-04-24,1857-04-03,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA911,11,60,0,,,
"California 7 per cents, 1870",1857-04-24,1857-04-10,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA911,11,50.5,0,,,
"California 7 per cents, 1870",1857-04-24,1857-04-17,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA911,11,50,0,,,
"California 7 per cents, 1870",1857-05-30,1857-04-24,http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA942,11,50.75,0,,,
"California 7 per cents, 1870",1857-06-24,1857-05-01,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA79,12,50.25,0,,,
"California 7 per cents, 1870",1857-06-24,1857-05-08,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA79,12,47,0,,,
"California 7 per cents, 1870",1857-06-24,1857-05-15,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA79,12,48.5,0,,,
"California 7 per cents, 1870",1857-06-24,1857-05-22,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA79,12,56.5,0,,,
"California 7 per cents, 1870",1857-06-24,1857-05-29,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA79,12,57.5,0,,,
"California 7 per cents, 1870",1857-06-24,1857-06-05,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA79,12,64.25,0,,,
"California 7 per cents, 1870",1857-06-24,1857-06-12,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA79,12,59,0,,,
"California 7 per cents, 1870",1857-07-25,1857-06-19,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA159,12,64.5,0,,,
"California 7 per cents, 1870",1857-07-25,1857-06-26,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA159,12,60,0,,,
"California 7 per cents, 1870",1857-07-25,1857-07-03,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA159,12,55,0,,,
"California 7 per cents, 1870",1857-07-25,1857-07-10,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA159,12,54.5,0,,,
"California 7 per cents, 1870",1857-07-25,1857-07-17,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA159,12,52.5,0,,,
"California 7 per cents, 1870",1857-07-25,1857-07-24,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA159,12,60,0,,,
"California 7 per cents, 1870",1857-08-26,1857-07-31,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA254,12,56,0,,,
"California 7 per cents, 1870",1857-08-26,1857-08-07,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA254,12,56,0,,,
"California 7 per cents, 1870",1857-08-26,1857-08-14,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA254,12,56,0,,,
"California 7 per cents, 1870",1857-08-26,1857-08-21,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA254,12,60,0,,,
"California 7 per cents, 1870",1857-09-28,1857-08-28,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA335,12,50,0,,,
"California 7 per cents, 1870",1857-09-28,1857-09-04,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA335,12,57,0,,,
"California 7 per cents, 1870",1857-09-28,1857-09-11,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA335,12,55,0,,,
"California 7 per cents, 1870",1857-09-28,1857-09-18,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA335,12,56,0,,,
"California 7 per cents, 1870",1857-09-28,1857-09-25,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA335,12,55,0,,,
"California 7 per cents, 1870",1857-10-28,1857-10-02,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA431,12,50,0,,,
"California 7 per cents, 1870",1857-10-28,1857-10-09,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA431,12,57,0,,,
"California 7 per cents, 1870",1857-10-28,1857-10-16,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA431,12,58,0,,,
"California 7 per cents, 1870",1857-10-28,1857-10-23,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA431,12,60,0,,,
"California 7 per cents, 1870",1857-11-27,1857-10-30,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA511,12,55,0,,,
"California 7 per cents, 1870",1857-11-27,1857-11-06,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA511,12,60,0,,,
"California 7 per cents, 1870",1857-11-27,1857-11-13,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA511,12,68.5,0,,,
"California 7 per cents, 1870",1857-11-27,1857-11-20,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA511,12,65,0,,,
"California 7 per cents, 1870",1857-12-26,1857-11-27,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA590,12,70,0,,,
"California 7 per cents, 1870",1857-12-26,1857-12-04,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA590,12,67,0,,,
"California 7 per cents, 1870",1857-12-26,1857-12-11,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA590,12,68,0,,,
"California 7 per cents, 1870",1857-12-26,1857-12-18,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA590,12,68,0,,,
"California 7 per cents, 1870",1858-01-25,1858-01-08,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA686,12,66.25,0,,,
"California 7 per cents, 1870",1858-01-25,1858-01-15,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA686,12,70,0,,,
"California 7 per cents, 1870",1858-01-25,1858-01-22,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA686,12,72.25,0,,,
"California 7 per cents, 1870",1858-02-25,1858-01-29,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA766,12,75.25,0,,,
"California 7 per cents, 1870",1858-02-25,1858-02-05,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA766,12,80,0,,,
"California 7 per cents, 1870",1858-02-25,1858-02-12,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA766,12,70,0,,,
"California 7 per cents, 1870",1858-02-25,1858-02-19,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA766,12,81.75,0,,,
"California 7 per cents, 1870",1858-03-24,1858-02-26,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA847,12,83,0,,,
"California 7 per cents, 1870",1858-03-24,1858-03-05,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA847,12,88,0,,,
"California 7 per cents, 1870",1858-03-24,1858-03-12,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA847,12,91,0,,,
"California 7 per cents, 1870",1858-03-24,1858-03-19,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA847,12,88,0,,,
"California 7 per cents, 1870",1858-04-25,1858-03-26,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA927,12,86.5,0,,,
"California 7 per cents, 1870",1858-04-25,1858-04-02,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA927,12,83,0,,,
"California 7 per cents, 1870",1858-04-25,1858-04-09,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA927,12,85.25,0,,,
"California 7 per cents, 1870",1858-04-25,1858-04-16,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA927,12,95,0,,,
"California 7 per cents, 1870",1858-04-25,1858-04-23,http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA927,12,84,0,,,
"California 7 per cents, 1870",1858-06-26,1858-05-07,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA78,13,84,0,,,
"California 7 per cents, 1870",1858-06-26,1858-05-14,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA78,13,87,0,,,
"California 7 per cents, 1870",1858-06-26,1858-05-21,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA78,13,87.5,0,,,
"California 7 per cents, 1870",1858-06-26,1858-05-28,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA78,13,85,0,,,
"California 7 per cents, 1870",1858-06-26,1858-06-04,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA78,13,85.5,0,,,
"California 7 per cents, 1870",1858-06-26,1858-06-11,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA78,13,85.5,0,,,
"California 7 per cents, 1870",1858-06-26,1858-06-18,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA78,13,86,0,,,
"California 7 per cents, 1870",1858-06-26,1858-06-25,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA78,13,86,0,,,
"California 7 per cents, 1870",1858-07-26,1858-07-02,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA159,13,85.5,0,,,
"California 7 per cents, 1870",1858-07-26,1858-07-09,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA159,13,85.5,0,,,
"California 7 per cents, 1870",1858-07-26,1858-07-16,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA159,13,86,0,,,
"California 7 per cents, 1870",1858-07-26,1858-07-23,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA159,13,86.5,0,,,
"California 7 per cents, 1870",1858-08-26,1858-07-30,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA239,13,86.25,0,,,
"California 7 per cents, 1870",1858-08-26,1858-08-06,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA239,13,86.625,0,,,
"California 7 per cents, 1870",1858-08-26,1858-08-13,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA239,13,85,0,,,
"California 7 per cents, 1870",1858-08-26,1858-08-21,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA239,13,85.25,0,,,
"California 7 per cents, 1877",1858-09-24,1858-07-30,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA319,13,86.25,0,,,
"California 7 per cents, 1877",1858-09-24,1858-08-06,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA319,13,86.75,0,,,
"California 7 per cents, 1877",1858-09-24,1858-08-13,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA319,13,85,0,,,
"California 7 per cents, 1877",1858-09-24,1858-08-20,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA319,13,85.25,0,,,
"California 7 per cents, 1877",1858-09-24,1858-08-27,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA319,13,84,0,,,
"California 7 per cents, 1877",1858-09-24,1858-09-03,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA319,13,82,0,,,
"California 7 per cents, 1877",1858-09-24,1858-09-10,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA319,13,82,0,,,
"California 7 per cents, 1877",1858-09-24,1858-09-17,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA319,13,81.125,0,,,
"California 7 per cents, 1877",1858-10-26,1858-09-24,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA414,13,82,0,,,
"California 7 per cents, 1877",1858-10-26,1858-10-01,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA414,13,82.25,0,,,
"California 7 per cents, 1877",1858-10-26,1858-10-08,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA414,13,83.5,0,,,
"California 7 per cents, 1877",1858-10-26,1858-10-15,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA414,13,87,0,,,
"California 7 per cents, 1877",1858-10-26,1858-10-22,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA414,13,87,0,,,
"California 7 per cents, 1877",1858-11-24,1858-10-29,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA511,13,92.25,0,,,
"California 7 per cents, 1877",1858-11-24,1858-11-05,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA511,13,90,0,,,
"California 7 per cents, 1877",1858-11-24,1858-11-12,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA511,13,90.5,0,,,
"California 7 per cents, 1877",1858-11-24,1858-11-19,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA511,13,93,0,,,
"California 7 per cents, 1877",1859-01-26,1858-12-03,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA670,13,91,0,,,
"California 7 per cents, 1877",1859-01-26,1858-12-10,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA670,13,81,0,,,
"California 7 per cents, 1877",1859-01-26,1858-12-17,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA670,13,91.5,0,,,
"California 7 per cents, 1877",1859-01-26,1858-12-24,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA670,13,91.75,0,,,
"California 7 per cents, 1877",1859-01-26,1858-12-31,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA670,13,92,0,,,
"California 7 per cents, 1877",1859-01-26,1859-01-07,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA670,13,85,0,,,
"California 7 per cents, 1877",1859-01-26,1859-01-14,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA670,13,86.5,0,,,
"California 7 per cents, 1877",1859-01-26,1859-01-21,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA670,13,86,0,,,
"California 7 per cents, 1877",1859-02-24,1859-01-28,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA750,13,85.875,0,,,
"California 7 per cents, 1877",1859-02-24,1859-02-04,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA750,13,84.25,0,,,
"California 7 per cents, 1877",1859-02-24,1859-02-11,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA750,13,84.125,0,,,
"California 7 per cents, 1877",1859-02-24,1859-02-18,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA750,13,84,0,,,
"California 7 per cents, 1877",1859-03-26,1859-02-25,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA830,13,84,0,,,
"California 7 per cents, 1877",1859-03-26,1859-03-04,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA830,13,84.125,0,,,
"California 7 per cents, 1877",1859-03-26,1859-03-11,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA830,13,84.125,0,,,
"California 7 per cents, 1877",1859-03-26,1859-03-18,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA830,13,81,0,,,
"California 7 per cents, 1877",1859-03-26,1859-03-25,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA830,13,80,0,,,
"California 7 per cents, 1877",1859-04-23,1859-04-01,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA910,13,81.75,0,,,
"California 7 per cents, 1877",1859-04-23,1859-04-08,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA910,13,82,0,,,
"California 7 per cents, 1877",1859-04-23,1859-04-15,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA910,13,85,0,,,
"California 7 per cents, 1877",1859-04-23,1859-04-22,http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA910,13,84.5,0,,,
"California 7 per cents, 1877",1859-06-25,1859-04-29,http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA77,14,85,0,,,
"California 7 per cents, 1877",1859-06-25,1859-05-06,http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA77,14,85.5,0,,,
"California 7 per cents, 1877",1859-06-25,1859-05-13,http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA77,14,83.25,0,,,
"California 7 per cents, 1877",1859-06-25,1859-05-20,http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA77,14,82.75,0,,,
"California 7 per cents, 1877",1859-06-25,1859-05-27,http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA77,14,82.5,0,,,
"California 7 per cents, 1877",1859-07-25,1859-06-03,http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA157,14,83,0,,,
"California 7 per cents, 1877",1859-07-25,1859-06-10,http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA157,14,83.5,0,,,
"California 7 per cents, 1877",1859-07-25,1859-06-17,http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA157,14,84,0,,,
"California 7 per cents, 1877",1859-07-25,1859-06-24,http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA157,14,85.25,0,,,
"California 7 per cents, 1877",1859-08-25,1859-07-01,http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA246,14,84.5,0,-3.5,,Appears to include Jul coupon
"California 7 per cents, 1877",1859-08-25,1859-07-08,http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA246,14,80,0,,,
"California 7 per cents, 1877",1859-08-25,1859-07-15,http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA246,14,81.5,0,,,
"California 7 per cents, 1877",1859-08-25,1859-07-22,http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA246,14,81.25,0,,,
