bid_no,name,city,state,amount,bid,accepted,declined,,
60,"E. Whitehouse, Son & Morrison",,,75,3.25,75,,208,35
,,,,90,3,,90,208,36
61,Benjamin H. Field,,,10,3.25,10,,208,37
,,,,10,2,,10,208,38
,,,,20,1,,20,208,39
62,Charles P. Gulick,,,2.5,3.25,2.5,,208,40
63,Mutual Life Insurance Company,,,100,3.25,100,,208,41
,,,,100,3,,100,208,42
,,,,100,2.75,,100,208,43
,,,,100,2.5,,100,208,44
,,,,100,2,,100,208,45
64,"G. S. Robbins & Sons, trustees",,,40,3.25,40,,208,46
,,,,40,2.9,,40,208,47
65,John Ponder,Washington,DC,25,3.25,25,,208,48
66,Thompson Brothers,New York,,500,3.21,500,,208,49
,,,,300,3.17,300,,208,50
,,,,200,3.07,200,,208,51
67,"Livermore, Clews & Co.",,,50,3.17,50,,208,52
,,,,150,3.13,150,,208,53
,,,,55,3.07,55,,208,54
68,E. W. Dunham,,,50,3.17,50,,208,55
,,,,50,3.01,,50,208,56
,,,,50,2.79,,50,208,57
69,Edward J. King,,,5,3.16,5,,208,58
,,,,5,2.53,,5,208,59
,,,,5,2.27,,5,208,60
70,"Livermore, Clews & Co.",,,100,3.15,100,,208,61
,,,,300,3.13,300,,208,62
,,,,100,3.11,100,,208,63
71,John Olmstead,Yonkers,NY,10,3.15,10,,208,64
,,,,10,2.8,,10,208,65
,,,,10,2.15,,10,208,66
72,Samuel F. Ashton,Philadelphia,PA,10,3.125,10,,208,67
73,Manhattan Savings Institution,New York,NY,125,3.125,125,,208,68
74,"Henry F. Vail, cashier",,,650,3.1,650,,208,69
,,,,650,3,,650,208,70
,,,,600,2.75,,600,208,71
,,,,600,2.5,,600,208,72
,,,,500,2.25,,500,208,73
75,William Barton,Brooklyn,NY,5,3.1,5,,208,74
,,,,5,2.5,,5,208,75
76,"W. H. Cox, cashier",New York,NY,25,3.1,25,,208,76
,,,,227.5,3,,227.5,208,77
,,,,210,2.5,,210,208,78
,,,,10,1.5,,10,208,79
77,Joseph Jones,Philadelphia,PA,26,3.1,26,,208,80
77,Joseph Jones,Philadelphia,PA,2,3,,2,209,1
78,"Winslow, Lanier & Co. and C. P. Culver",New York,NY,250,3.1,250,,209,2
,,,,350,3,,350,209,3
,,,,200,2.9,,200,209,4
,,,,100,2.5,,100,209,5
,,,,100,2.25,,100,209,6
79,Underhill & Haven,,,5,3.07,5,,209,7
,,,,5,2.97,,5,209,8
,,,,5,2.77,,5,209,9
,,,,5,2.67,,5,209,10
,,,,5,2.57,,5,209,11
,,,,5,2.47,,5,209,12
,,,,5,2.37,,5,209,13
,,,,5,2.27,,5,209,14
,,,,5,2.17,,5,209,15
,,,,5,1.97,,5,209,16
,,,,5,1.77,,5,209,17
,,,,5,1.57,,5,209,18
80,American Exchange Bank,,,750,3.05,445.9,304.1,209,19
81,"W. H. Cox, cashier",,,25,3.05,14.9,10.1,209,20
82,Fearing & Dalton,,,25,3.05,14.9,10.1,209,21
,,,,25,3,,25,209,22
,,,,25,2.95,,25,209,23
83,"Ketchum, Son & Co., for themselves and others",,,4642.5,3.05,2760.3,1882.2,209,24
,,,,107.5,3.05,63.9,43.6,209,25
,,,,50,3.05,29.7,20.3,209,26
,,,,25,2.4,,25,209,27
,,,,15,1.01,,15,209,28
,,,,100,2.07,,100,209,29
84,"Anthony Halsey, cashier",,,130,3.05,77.3,52.7,209,30
,,,,25,2.76,,25,209,31
,,,,25,2.26,,25,209,32
,,,,20,1.76,,20,209,33
85,Ward & Co,,,50,3.05,29.7,20.3,209,34
,,,,50,2.85,,50,209,35
,,,,50,2.65,,50,209,36
,,,,50,2.15,,50,209,37
86,Franklin Haven,Boston,MA,500,3.025,,500,209,38
,,,,500,2.77,,500,209,39
87,Samuel Rea,,,0.2,3,,0.2,209,40
88,Ira Steward,,,0.1,3,,0.1,209,41
89,Naumkeag Bank,Salem,MA,100,3,,100,209,42
90,W. Ropes & Co.,Boston,MA,10,3,,10,209,43
,,,,10,2.5,,10,209,44
,,,,10,2,,10,209,45
,,,,10,1,,10,209,46
,,,,10,0,,10,209,47
91,John E. Kendall,Washington,DC,4,3,,4,209,48
92,M. A. Flakenburgh,Jersey City,NJ,0.5,3,,0.5,209,49
93,J. C. Lewis,Washington,DC,0.1,3,,0.1,209,50
,,,,0.2,2,,0.2,209,51
,,,,0.1,1,,0.1,209,52
94,Christopher Becker,New York,NY,5,3,,5,209,53
95,J. B. Orton,,,2.5,3,,2.5,209,54
,,,,2.5,2.75,,2.5,209,55
96,C. S. Underwood,Washington,DC,0.4,3,,0.4,209,56
97,Riggs & Co.,,,100,3,,100,209,57
98,William P. Dole,,,0.4,3,,0.4,209,58
99,Anna G. Dudley,,,0.15,3,,0.15,209,59
100,Boyleston Bank,Boston,MA,40,3,,40,209,60
101,"James E. Southworth, president",New York,NY,25,3,,25,209,61
,,,,25,2.88,,25,209,62
102,Dater & Timpson,,,20,3,,20,209,63
103,Metacomet Bank,Fall River,MA,15,3,,15,209,64
,,,,15,2.75,,15,209,65
,,,,15,2.5,,15,209,66
,,,,15,2.25,,15,209,67
104,Henry W. Shaw,New York,NY,1,3,,1,209,68
105,"Allen Danforth, treasurer",Boston,MA,10,3,,10,209,69
,,,,10,2.5,,10,209,70
,,,,10,2,,10,209,71
106,Rebecca Nathans,Philadelphia,PA,3,3,,3,209,72
107,John L. Rogers,New York,NY,20,3,,20,209,73
108,Thomas Lamb,Boston,MA,25,3,,25,209,74
,,,,25,2.75,,25,209,75
109,Charles H. Delavan,New York,NY,15,3,,15,209,76
,,,,15,2.75,,15,209,77
,,,,20,2.5,,20,209,78
,,,,30,2.25,,30,209,79
110,J. M. Goddard,New York,NY,1.5,3,,1.5,210,1
111,"Otis Daniel, for estate of M. Grant",,,10,3,,10,210,2
,,,,10,2,,10,210,3
112,E. L. Ketsey,,,0.25,3,,0.25,210,4
113,Alfonso Deschowitz,,,10,3,,10,210,5
114,John Wadsworth,,,10,3,,10,210,6
,,,,10,2.75,,10,210,7
115,J. F. De Lanier,,,100,3,,100,210,8
,,,,100,2.9,,100,210,9
116,"F. M. Harris, cashier",,,25,3,,25,210,10
,,,,25,2.75,,25,210,11
,,,,25,2.5,,25,210,12
,,,,25,2.25,,25,210,13
,,,,25,2,,25,210,14
117,East River Savings Institution,,,25,3,,25,210,15
,,,,25,2.5,,25,210,16
118,Lewis Johnson & Co. ,Washington,DC,200,2.95,,200,210,17
,,,,50,2.7,,50,210,18
,,,,100,2.625,,100,210,19
119,"Livermore, Clews & Co.",New York,NY,5,2.9,,5,210,20
,,,,5,2.875,,5,210,21
,,,,8,2.75,,8,210,22
,,,,5,2.625,,5,210,23
,,,,5,2.6,,5,210,24
,,,,3,2.55,,3,210,25
,,,,84,2.5,,84,210,26
,,,,40,2.4,,40,210,27
,,,,5,2.375,,5,210,28
,,,,40,1.9,,40,210,29
120,J. E. Park,Dowington,PA,5,2.875,,5,210,30
121,Philip Speyer & Co.,New York,NY,5,2.77,,5,210,31
,,,,5,2.76,,5,210,32
,,,,5,2.75,,5,210,33
,,,,5,2.73,,5,210,34
,,,,5,2.71,,5,210,35
,,,,5,2.68,,5,210,36
,,,,10,2.64,,10,210,37
,,,,10,2.62,,10,210,38
,,,,10,2.59,,10,210,39
,,,,10,2.56,,10,210,40
,,,,10,2.52,,10,210,41
,,,,20,2.51,,20,210,42
122,Webster Bank,Boston,MA,75,2.75,,75,210,43
,,,,75,2.625,,75,210,44
,,,,75,2.56,,75,210,45
,,,,75,2.375,,75,210,46
,,,,100,2.25,,100,210,47
123,Maria McGregor,New York,NY,7,2.75,,7,210,48
124,Home Insurance Company,,,25,2.75,,25,210,49
,,,,25,2.55,,25,210,50
,,,,25,2.3,,25,210,51
,,,,25,2,,25,210,52
125,"Augustus A. L. Chase, cashier",,,3,2.6,,3,210,53
126,John P. Elton,Waterbury,CT,10,2.6,,10,210,54
,,,,15,2.5,,15,210,55
127,S. & W. Welsh,Philadelphia,PA,100,2.5,,100,210,56
128,New England Bank,,,40,2.5,,40,210,57
,,,,40,2,,40,210,58
,,,,80,1.5,,80,210,59
,,,,80,1,,80,210,60
,,,,10,0.5,,10,210,61
129,Miners' Bank,Possville,PA,50,2.5,,50,210,62
130,G. W. Berrian,Jersey City,NJ,8,2.5,,8,210,63
131,Josiah P. Cook,Boston,MA,10,2.5,,10,210,64
132,E. L. Bushnell,New York,NY,5,2.5,,5,210,65
,,,,5,2,,5,210,66
,,,,5,1.5,,5,210,67
,,,,5,1,,5,210,68
133,Nathan Nathans,Philadelphia,PA,1,2.5,,1,210,69
134,J. Amory Davis,Boston,MA,25,2.5,,25,210,70
135,Otis Daniel,,,10,2.5,,10,210,71
,,,,10,2,,10,210,72
,,,,10,1,,10,210,73
136,James W. Harris,,,1,2.5,,1,210,74
137,Samuel F. Ashton,Philadelphia,PA,10,2.5,,10,210,75
138,John T. Vincent,Washington,DC,1,2.5,,1,210,76
139,John Blake,New York,NY,1,2.5,,1,210,77
140,"Joseph M. Price, cashier",,,50,2.5,,50,210,78
141,"George S. Robbins & Sons, trustees",,,40,2.5,,40,210,79
142,"James Gallatin, president",New York,NY,50,2.5,,50,211,
143,W. H. Slocum,,,10,2.5,,10,211,
144,"Bliss, Williams & Co.",,,25,2.3,,25,211,
,,,,25,2.25,,25,211,
,,,,50,2.05,,50,211,
,,,,25,1.9,,25,211,
,,,,25,1.75,,25,211,
145,Charles Stoddard,Boston,MA,6,2.25,,6,211,
146,"F. S. Bayley, cashier",Springfield,MA,5,2.25,,5,211,
,,,,5,2,,5,211,
,,,,5,1.75,,5,211,
,,,,5,1.5,,5,211,
,,,,5,1.25,,5,211,
147,B. F. Mansfield,New York,NY,5,2.2,,5,211,
,,,,5,1.5,,5,211,
148,Underhill & Haven,,,20,2.2,,20,211,
149,Hamilton Fire Insurance Co.,,,25,2.1,,25,211,
150,National Bank,Boston,MA,70,2,,70,211,
151,Bank of America,New York,NY,500,2,,500,211,
,,,,10,2,,10,211,
152,George A. Black,,,1,2,,1,211,
153,A. E. Giles,Boston,MA,1,2,,1,211,
154,William Wright,Philadelphia,PA,15,2,,15,211,
155,Joseph Hutchinson,Washington,DC,2,2,,2,211,
,,,,2,1.3,,2,211,
,,,,2,1,,2,211,
,,,,2,0,,2,211,
156,Leaman Thompson,Albany,NY,5,2,,5,211,
157,Albany Exchange Bank,,,20,2,,20,211,
,,,,20,1.5,,20,211,
,,,,20,1,,20,211,
158,Robert White,Boston,MA,3,2,,3,211,
159,Thomas Trueman,New York,NY,0.5,2,,0.5,211,
160,Amanda McLean,Washington,DC,1,2,,1,211,
161,Isaac Sweetser,Boston,MA,1,2,,1,211,
162,John Slattery,New York,,10,2,,10,211,
,,,,10,0,,10,211,
163,Jefferson Branch State Bank of Ohio,...,OH,31,2,,31,211,
164,Charles W. Swartz,Washington,DC,0.5,1.75,,0.5,211,
165,"Isaac W. Blain, for himself and others",New York,NY,4.5,1.5,,4.5,211,
166,Hostetter & Smith,Pittsburg,PA,10,1.25,,10,211,
167,Clarkson & Co.,New York,NY,5,1.01,,5,211,
,,,,10,0.01,,10,211,
168,J. Kendall,Boston,MA,2,1,,2,211,
169,John H. Robinson,Paterson,NJ,0.2,1,,0.2,211,
170,A. B. Johnson,Utica,NY,10,1,,10,211,
171,Francis Jago,Philadelphia,PA,4,1,,4,211,
172,George B. Milton,Boston,MA,1,1,,1,211,
173,V. de Amerilla,Philadelphia,PA,0.3,1,,0.3,211,
174,Seth Caldwell,Worcester,MA,1,1,,1,211,
175,Brevoort Fire Insurance Co.,New York,NY,10,1,,10,211,
,,,,10,0.5,,10,211,
,,,,10,0,,10,211,
176,C. T. Willard,Philadelphia,PA,0.05,1,,0.05,211,
177,Albany Exchange Bank,Albany,NY,20,0.75,,20,211,
,,,,20,0.5,,20,211,
178,George W. Utennehle,Washington,NY,6,0,,6,211,
179,S. J. Goss,,,0.75,0,,0.75,211,
180,Henry H. Bownell,New Haven,CT,3,0,,3,211,
181,White & Hill,Nashua,NH,5,0,,5,211,
182,Henry S. Milton,Boston,MA,1,0,,1,211,
183,Pemberton Smith,Philadelphia,PA,3,0,,3,211,
184,G. F. Hunting,Boston,MA,0.4,0,,0.4,211,
185,W. M. Webster,Philadelphia,PA,2.2,0,,2.2,211,
186,J. M. Balisse,New York,NY,1,0,,1,211,
187,J. M. Hines,Shippensburg,PA,1,0,,1,211,
188,Mrs. S. E. Edwards,Philadelphia,PA,2,0,,2,211,
