"name","city","state","price_mean","bidder_num","auction"
"Chester W. Chapin","Springfield","MA",90.3,54,"1861-02-13; Loan of Feb 1861"
"Mark A. Nicholls","Lockport","NY",90.272,55,"1861-02-13; Loan of Feb 1861"
"M.M. Pownall","New York","NY",90.27,56,"1861-02-13; Loan of Feb 1861"
"Sherman & Romaine","New York","NY",90.26,57,"1861-02-13; Loan of Feb 1861"
"C.E. Brewer","New York","NY",90.2566666666667,58,"1861-02-13; Loan of Feb 1861"
"Allan Melville","New York","NY",90.25,59,"1861-02-13; Loan of Feb 1861"
"Bank of Lansingburgh","New York","NY",90.25,60,"1861-02-13; Loan of Feb 1861"
"Clairmont Bank","Clairmont","NH",90.25,61,"1861-02-13; Loan of Feb 1861"
"George N. Farwell","Clairmont","NY",90.25,62,"1861-02-13; Loan of Feb 1861"
"Robert M. Strebright","New York","NY",90.25,63,"1861-02-13; Loan of Feb 1861"
"R.R. Fairchild","New York","NY",90.2,64,"1861-02-13; Loan of Feb 1861"
"F.P. James & Co.","New York","NY",90.17,65,"1861-02-13; Loan of Feb 1861"
"Read, Drexel & Co","New York","NY",90.15,66,"1861-02-13; Loan of Feb 1861"
"Sweeny, Rittenhouse, Fant & Co","Washington","DC",90.15,67,"1861-02-13; Loan of Feb 1861"
"Ketchum, So & Co. (self and others)","New York","NY",90.1473812849162,68,"1861-02-13; Loan of Feb 1861"
"Trevor & Colgate","New York","NY",90.125,69,"1861-02-13; Loan of Feb 1861"
"Read & Lathrop","New York","NY",90.1,70,"1861-02-13; Loan of Feb 1861"
"Surette & Whitney","Boston","MA",90.1,71,"1861-02-13; Loan of Feb 1861"
"William R. Merrill, in trust","New York","NY",90.1,72,"1861-02-13; Loan of Feb 1861"
"C.F. Knowlson","New York","NY",90.0485714285714,73,"1861-02-13; Loan of Feb 1861"
"A. Hamilton","Brooklyn","NY",90,74,"1861-02-13; Loan of Feb 1861"
"Bank of Commerce","New York","NY",90,75,"1861-02-13; Loan of Feb 1861"
"Benjamin C. White","Boston","MA",90,76,"1861-02-13; Loan of Feb 1861"
"Carpenter & Vermilye","New York","NY",90,77,"1861-02-13; Loan of Feb 1861"
"City Fire Insurance Company","Boston","MA",90,78,"1861-02-13; Loan of Feb 1861"
"Edgar S. Tweedy","New York","NY",90,79,"1861-02-13; Loan of Feb 1861"
"Eliza D. Delavan","New York","NY",90,80,"1861-02-13; Loan of Feb 1861"
"Evander Childs","New York","NY",90,81,"1861-02-13; Loan of Feb 1861"
"Francis Leland","New York","NY",90,82,"1861-02-13; Loan of Feb 1861"
"Hewlett & Torrance","New York","NY",90,83,"1861-02-13; Loan of Feb 1861"
"Howland & Aspinwall","New York","NY",90,84,"1861-02-13; Loan of Feb 1861"
"J.G. Whitney & Co","Boston","MA",90,85,"1861-02-13; Loan of Feb 1861"
"J.T. & J.G. Frost & Co.","New York","NY",90,86,"1861-02-13; Loan of Feb 1861"
"J.T. Van Vleck","New York","NY",90,87,"1861-02-13; Loan of Feb 1861"
"John Hooper & Co.","New York","NY",90,88,"1861-02-13; Loan of Feb 1861"
"Otis Norcross","Boston","MA",90,89,"1861-02-13; Loan of Feb 1861"
"S.A. Holbrook","Freeport, Me","",90,90,"1861-02-13; Loan of Feb 1861"
"Thomas Pittis","Troy","NY",90,91,"1861-02-13; Loan of Feb 1861"
"W.L. Newberry","Chicago","",90,92,"1861-02-13; Loan of Feb 1861"
"William J. Schenck","New York","NY",90,93,"1861-02-13; Loan of Feb 1861"
"Satterlee & Co","New York","NY",89.6685062240664,94,"1861-02-13; Loan of Feb 1861"
"A.D. Williams","New York","NY",89.55,95,"1861-02-13; Loan of Feb 1861"
"John P. Elton","Waterbury","CT",89.478,96,"1861-02-13; Loan of Feb 1861"
"Ward & Co. (for others)","New York","NY",89.375,97,"1861-02-13; Loan of Feb 1861"
"Clark, Dodge & Co.","New York","NY",89.3088235294118,98,"1861-02-13; Loan of Feb 1861"
"James H. Van Allen","New York","NY",89.25,99,"1861-02-13; Loan of Feb 1861"
"John W. Champlin","Mabbettsville","NY",89.25,100,"1861-02-13; Loan of Feb 1861"
"Hewlett Scudder","New York","NY",89.2,101,"1861-02-13; Loan of Feb 1861"
"Samuel C. Thompson","New York","NY",89.2,102,"1861-02-13; Loan of Feb 1861"
"Timothy C. Leeds","New York","NY",89.06,103,"1861-02-13; Loan of Feb 1861"
"William Tilden","New York","NY",89.028,104,"1861-02-13; Loan of Feb 1861"
"George W. Cuyler","Palmyra","NY",89,105,"1861-02-13; Loan of Feb 1861"
"Field & McLean","New York","NY",88.875,106,"1861-02-13; Loan of Feb 1861"
"J. Ludlow Dumont","New York","NY",88.8333333333333,107,"1861-02-13; Loan of Feb 1861"
"J.N. Phelps","New York","NY",88.806,108,"1861-02-13; Loan of Feb 1861"
"Otis Daniell","Boston","MA",88.78125,109,"1861-02-13; Loan of Feb 1861"
"McKim & Co","Baltimore","MD",88.7666666666667,110,"1861-02-13; Loan of Feb 1861"
"S.H. Alden, president","Albany","NY",88.765,111,"1861-02-13; Loan of Feb 1861"
"Edward J. King","New York","NY",88.5714285714286,112,"1861-02-13; Loan of Feb 1861"
"Eugene Thompson","New York","NY",88.5,113,"1861-02-13; Loan of Feb 1861"
"Parker Owen","Philadelphia","PA",88.5,114,"1861-02-13; Loan of Feb 1861"
"Rufus H. King","Albany","NY",88.4366666666667,115,"1861-02-13; Loan of Feb 1861"
"Third Avenue Savings Bank","New York","NY",88.375,116,"1861-02-13; Loan of Feb 1861"
"Francis T. Walker & Bro","New York","NY",88.12875,117,"1861-02-13; Loan of Feb 1861"
"Charles H. Delavan","New York","NY",88,118,"1861-02-13; Loan of Feb 1861"
"Samuel Bobke","New York","NY",88,119,"1861-02-13; Loan of Feb 1861"
"Spencer K. Green","New York","NY",88,120,"1861-02-13; Loan of Feb 1861"
"Thomas Griswold","New York","NY",88,121,"1861-02-13; Loan of Feb 1861"
"W.H. Slocum","New York","NY",88,122,"1861-02-13; Loan of Feb 1861"
"A.J. Glossbrenner","Washington","DC",87.7516666666667,123,"1861-02-13; Loan of Feb 1861"
"Abraham T. Lowe","Boston","MA",87.55,124,"1861-02-13; Loan of Feb 1861"
"Amos P Tapley","Boston","MA",87.5,125,"1861-02-13; Loan of Feb 1861"
"Charles Aug Davis","New York","NY",87.5,126,"1861-02-13; Loan of Feb 1861"
"G.A. Stone","Troy","NY",87.5,127,"1861-02-13; Loan of Feb 1861"
"William Barton & Son","New York","NY",87.5,128,"1861-02-13; Loan of Feb 1861"
"Brewster, Sweet & Co","Boston","MA",87.2666666666667,129,"1861-02-13; Loan of Feb 1861"
"George Field, cashier","New York","NY",87,130,"1861-02-13; Loan of Feb 1861"
"R.W. Howes","New York","NY",86.8,131,"1861-02-13; Loan of Feb 1861"
"A.V. Stout","New York","NY",86.775,132,"1861-02-13; Loan of Feb 1861"
"Wm. McBride","New York","NY",86.73046875,133,"1861-02-13; Loan of Feb 1861"
"Taylor Brothers","New York","NY",86.5,134,"1861-02-13; Loan of Feb 1861"
"M. Tuska","New York","NY",86.375,135,"1861-02-13; Loan of Feb 1861"
"Juan Clemente Las Casas","New York","NY",86.2666666666667,136,"1861-02-13; Loan of Feb 1861"
"Thomas H. Dudley","Camden","NJ",86.25,137,"1861-02-13; Loan of Feb 1861"
"Gilbert Oakley","New York","NY",86.2,138,"1861-02-13; Loan of Feb 1861"
"William J. Palmer, attorney","Philadelphia","PA",85,139,"1861-02-13; Loan of Feb 1861"
"A.F. Shriver","Washington","DC",84.1666666666667,140,"1861-02-13; Loan of Feb 1861"
"John G. Watmough, Jr.","Philadelphia","PA",83.5,141,"1861-02-13; Loan of Feb 1861"
"Wm. J. Emmet","New York","NY",82.8,142,"1861-02-13; Loan of Feb 1861"
"G.W. Tew","Silver Creek","NY",82.5,143,"1861-02-13; Loan of Feb 1861"
"J.S. & W. Brown","New York","NY",82.5,144,"1861-02-13; Loan of Feb 1861"
"Washington MIlls","New York","NY",81.61,145,"1861-02-13; Loan of Feb 1861"
"Buffalo Savings Bank","Buffalo","NY",81.4,146,"1861-02-13; Loan of Feb 1861"
"Thomas F. Andrews","Washington","DC",80.25,147,"1861-02-13; Loan of Feb 1861"
"G.A. Burbank","Danville","VT",80,148,"1861-02-13; Loan of Feb 1861"
"Joseph Woodbridge","Brooklyn","NY",80,149,"1861-02-13; Loan of Feb 1861"
"Townsend & Co","Boston","MA",78,150,"1861-02-13; Loan of Feb 1861"
"S.S. White","Philadelphia","PA",100,1,"1861-03-22; Loan of Feb 1861"
"Robert J. Wright","Philadelphia","PA",94.5,2,"1861-03-22; Loan of Feb 1861"
"G.S. Pepper","Philadelphia","PA",94.25,3,"1861-03-22; Loan of Feb 1861"
"Bank of Commerce","New York","NY",94,4,"1861-03-22; Loan of Feb 1861"
"F.R. James & Co","New York","NY",94,5,"1861-03-22; Loan of Feb 1861"
"J. Vincent Brown","Salem","MA",94,6,"1861-03-22; Loan of Feb 1861"
"John A. Dix","New York","NY",94,7,"1861-03-22; Loan of Feb 1861"
"Phillip R. Kearney","New York","NY",94,8,"1861-03-22; Loan of Feb 1861"
"William Beals, Jr. ","Boston","MA",94,9,"1861-03-22; Loan of Feb 1861"
"J. T. Van Vleck","New York","NY",93.85,10,"1861-03-22; Loan of Feb 1861"
"Bank of America","New York","NY",93.8,11,"1861-03-22; Loan of Feb 1861"
"Peter Murray","New York","NY",93.8,12,"1861-03-22; Loan of Feb 1861"
"James Gallatin","New York","NY",93.75,13,"1861-03-22; Loan of Feb 1861"
"Nathaniel Jewett","Washington","DC",93.75,14,"1861-03-22; Loan of Feb 1861"
"Samuel C. Thompson","New York","NY",93.75,15,"1861-03-22; Loan of Feb 1861"
"C.E. Brewer","New York","NY",93.58,16,"1861-03-22; Loan of Feb 1861"
"A.M. Lyon","New York","NY",93.57,17,"1861-03-22; Loan of Feb 1861"
"Amos P. Tapley","Boston","MA",93.555,18,"1861-03-22; Loan of Feb 1861"
"J.W. Walcott & Co","Boston","MA",93.525,19,"1861-03-22; Loan of Feb 1861"
"George A. Stone","Troy","NY",93.509,20,"1861-03-22; Loan of Feb 1861"
"A.W. Nicholson","New York","NY",93.5,21,"1861-03-22; Loan of Feb 1861"
"B. Usher","New York","NY",93.5,22,"1861-03-22; Loan of Feb 1861"
"Eliza D. Delavan","New York","NY",93.5,23,"1861-03-22; Loan of Feb 1861"
"J.H. Barringer","New York","NY",93.5,24,"1861-03-22; Loan of Feb 1861"
"Mechanics and Traders' Bank","Jersey City","NJ",93.5,25,"1861-03-22; Loan of Feb 1861"
"W.C. Dougherty","New York","NY",93.5,26,"1861-03-22; Loan of Feb 1861"
"W.S.W. Hale","New York","NY",93.47,27,"1861-03-22; Loan of Feb 1861"
"William Beals, Jr.","Boston","MA",93.47,28,"1861-03-22; Loan of Feb 1861"
"Samuel S. Day","Springfield","MA",93.4583333333333,29,"1861-03-22; Loan of Feb 1861"
"Charles H. Delevan","New York","NY",93.4375,30,"1861-03-22; Loan of Feb 1861"
"Bank of Milwaukie, by J.C. Van Vleeck","New York","NY",93.425,31,"1861-03-22; Loan of Feb 1861"
"W. Anthons & Le Roys","New York","NY",93.41375,32,"1861-03-22; Loan of Feb 1861"
"F.L. Richardson","New York","NY",93.41,33,"1861-03-22; Loan of Feb 1861"
"Bank North America","New York","NY",93.385,34,"1861-03-22; Loan of Feb 1861"
"A.R. Corbin","Washington","DC",93.375,35,"1861-03-22; Loan of Feb 1861"
"William H. Marston","New York","NY",93.36,36,"1861-03-22; Loan of Feb 1861"
"Drexel & Co.","Philadelphia","PA",93.33,37,"1861-03-22; Loan of Feb 1861"
"Sweeny, Rittenhouse, Fant & Co","Washington","DC",93.33,38,"1861-03-22; Loan of Feb 1861"
"E.L. Bolles","New York","NY",93.3,39,"1861-03-22; Loan of Feb 1861"
"W.C. Bestor","Washington","DC",93.3,40,"1861-03-22; Loan of Feb 1861"
"William L. Abbott","Philadelphia","PA",93.2866666666667,41,"1861-03-22; Loan of Feb 1861"
"A. Griffing Waterbury","New York","NY",93.27,42,"1861-03-22; Loan of Feb 1861"
"Dater & Timpson","New York","NY",93.2681818181818,43,"1861-03-22; Loan of Feb 1861"
"Van Antwerp & Co","New York","NY",93.267,44,"1861-03-22; Loan of Feb 1861"
"Cammann & Co","New York","NY",93.26,45,"1861-03-22; Loan of Feb 1861"
"Henry M. Barnes","Philadelphia","PA",93.25,46,"1861-03-22; Loan of Feb 1861"
"Samuel C. Moore","New York","NY",93.25,47,"1861-03-22; Loan of Feb 1861"
"Thomas J. Tash","Philadelphia","PA",93.25,48,"1861-03-22; Loan of Feb 1861"
"C.R. Robert","New York","NY",93.234,49,"1861-03-22; Loan of Feb 1861"
"Henry Keep","New York","NY",93.208,50,"1861-03-22; Loan of Feb 1861"
"George w. Cuyler, president","Elmira","NY",93.2,51,"1861-03-22; Loan of Feb 1861"
"J.M. Williams","New York","NY",93.192,52,"1861-03-22; Loan of Feb 1861"
"Thomas Pinckney","New York","NY",93.18,53,"1861-03-22; Loan of Feb 1861"
"Allan Melville","New York","NY",93.17,54,"1861-03-22; Loan of Feb 1861"
"Field & McLean","New York","NY",93.17,55,"1861-03-22; Loan of Feb 1861"
"Merritt, Strang & Co","New York","NY",93.17,56,"1861-03-22; Loan of Feb 1861"
"Park & Dalton","New York","NY",93.17,57,"1861-03-22; Loan of Feb 1861"
"Read, Drexel & Co","New York","NY",93.17,58,"1861-03-22; Loan of Feb 1861"
"S.E. Darling & Co","New York","NY",93.17,59,"1861-03-22; Loan of Feb 1861"
"Wm & John O'Brien","New York","NY",93.17,60,"1861-03-22; Loan of Feb 1861"
"E. Whitehouse, Son & Morison","New York","NY",93.1611111111111,61,"1861-03-22; Loan of Feb 1861"
"J. Van Schaick","New York","NY",93.157,62,"1861-03-22; Loan of Feb 1861"
"A Benson & Co","Philadelphia","PA",93.13,63,"1861-03-22; Loan of Feb 1861"
"A.S. Beckwith","Hartford","CT",93.13,64,"1861-03-22; Loan of Feb 1861"
"A.V. Stout","New York","NY",93.13,65,"1861-03-22; Loan of Feb 1861"
"Account of Etna Insurance Company","New York","NY",93.13,66,"1861-03-22; Loan of Feb 1861"
"Bridgeport Savings Bank","Bridgeport","CT",93.13,67,"1861-03-22; Loan of Feb 1861"
"C. Spooner","Bridgeport","CT",93.13,68,"1861-03-22; Loan of Feb 1861"
"Charles Rushmore","New York","NY",93.13,69,"1861-03-22; Loan of Feb 1861"
"Connecticut Mutual Live Insurance Company","Hartford","CT",93.13,70,"1861-03-22; Loan of Feb 1861"
"De Forrest & Palmer","New York","NY",93.13,71,"1861-03-22; Loan of Feb 1861"
"De Launey, Clark & Co","New York","NY",93.13,72,"1861-03-22; Loan of Feb 1861"
"E. Sweet","New York","NY",93.13,73,"1861-03-22; Loan of Feb 1861"
"E.C. Ely","New York","NY",93.13,74,"1861-03-22; Loan of Feb 1861"
"E.S. Hubbard","Middletown","CT",93.13,75,"1861-03-22; Loan of Feb 1861"
"Eaton Loan and Trust Company","Waterbury","CT",93.13,76,"1861-03-22; Loan of Feb 1861"
"Ezra White","New York","NY",93.13,77,"1861-03-22; Loan of Feb 1861"
"F. Marquon, president","New York","NY",93.13,78,"1861-03-22; Loan of Feb 1861"
"F.T. Walker & Bro","New York","NY",93.13,79,"1861-03-22; Loan of Feb 1861"
"Frank Vincent","New York","NY",93.13,80,"1861-03-22; Loan of Feb 1861"
"Franklin Savings Institution","Greenfield","",93.13,81,"1861-03-22; Loan of Feb 1861"
"George & Samuel Brown","New York","NY",93.13,82,"1861-03-22; Loan of Feb 1861"
"George M. Ives","Stafford Springs","CT",93.13,83,"1861-03-22; Loan of Feb 1861"
"George Opdyke","New York","NY",93.13,84,"1861-03-22; Loan of Feb 1861"
"Grant & Son","New York","NY",93.13,85,"1861-03-22; Loan of Feb 1861"
"H. Staples","Saugatuck","MI",93.13,86,"1861-03-22; Loan of Feb 1861"
"H.K. Skelding","New York","NY",93.13,87,"1861-03-22; Loan of Feb 1861"
"Home Insurance Company","New York","NY",93.13,88,"1861-03-22; Loan of Feb 1861"
"J. Peirpont Morgan, for others","New York","NY",93.13,89,"1861-03-22; Loan of Feb 1861"
"J.D. Vermilye","New York","NY",93.13,90,"1861-03-22; Loan of Feb 1861"
"J.H. Watkinson","Middletown","CT",93.13,91,"1861-03-22; Loan of Feb 1861"
"J.N. Phelps","New York","NY",93.13,92,"1861-03-22; Loan of Feb 1861"
"Jerome Fitzhugh & Co","New York","NY",93.13,93,"1861-03-22; Loan of Feb 1861"
"John W. Leeds","Stamford","CT",93.13,94,"1861-03-22; Loan of Feb 1861"
"Joseph Lawrence","New York","NY",93.13,95,"1861-03-22; Loan of Feb 1861"
"Ketchum Sons","New York","NY",93.13,96,"1861-03-22; Loan of Feb 1861"
"L.D. Van Sands","Middletown","CT",93.13,97,"1861-03-22; Loan of Feb 1861"
"L.W. Jerome","New York","NY",93.13,98,"1861-03-22; Loan of Feb 1861"
"M.M. Freeman & Co","New York","NY",93.13,99,"1861-03-22; Loan of Feb 1861"
"Mason Thompson","New York","NY",93.13,100,"1861-03-22; Loan of Feb 1861"
"Meigs & Greenleaf","New York","NY",93.13,101,"1861-03-22; Loan of Feb 1861"
"Messenger & Wright","New York","NY",93.13,102,"1861-03-22; Loan of Feb 1861"
"Nash Moseman","New York","NY",93.13,103,"1861-03-22; Loan of Feb 1861"
"P & F Jaudon","New York","NY",93.13,104,"1861-03-22; Loan of Feb 1861"
"P.C. Calhoun","Bridgeport","CT",93.13,105,"1861-03-22; Loan of Feb 1861"
"Robert Buel & Son","Hartford","CT",93.13,106,"1861-03-22; Loan of Feb 1861"
"Shoe and Leather Bank","New York","NY",93.13,107,"1861-03-22; Loan of Feb 1861"
"St. Nicholas Bank","New York","NY",93.13,108,"1861-03-22; Loan of Feb 1861"
"Terry Brothers","New York","NY",93.13,109,"1861-03-22; Loan of Feb 1861"
"Theodore De Hone","New York","NY",93.13,110,"1861-03-22; Loan of Feb 1861"
"Underhill & Haven","New York","NY",93.13,111,"1861-03-22; Loan of Feb 1861"
"Ward, Campell & Co","New York","NY",93.13,112,"1861-03-22; Loan of Feb 1861"
"William Barton & Son","New York","NY",93.13,113,"1861-03-22; Loan of Feb 1861"
"Winslow, Lanier & Co","New York","NY",93.13,114,"1861-03-22; Loan of Feb 1861"
"C.G. Clark","New York","NY",93.13,115,"1861-03-22; Loan of Feb 1861"
"City Savings Bank","Bridgeport","CT",93.13,116,"1861-03-22; Loan of Feb 1861"
"Continental Insurance Company","New York","NY",93.13,117,"1861-03-22; Loan of Feb 1861"
"H. Alexander, Jr. ","Springfield","MA",93.13,118,"1861-03-22; Loan of Feb 1861"
"H.U. Case","Springfield","MA",93.13,119,"1861-03-22; Loan of Feb 1861"
"John Mortimer, Jr. ","New York","NY",93.13,120,"1861-03-22; Loan of Feb 1861"
"John P. Coffin","New York","NY",93.13,121,"1861-03-22; Loan of Feb 1861"
"Middletown Savings Bank","Middletown","CT",93.13,122,"1861-03-22; Loan of Feb 1861"
"Robert M. Mason","Boston","MA",93.13,123,"1861-03-22; Loan of Feb 1861"
"S.B. Chittenden","New York","NY",93.13,124,"1861-03-22; Loan of Feb 1861"
"G.W. Rierson","New York","NY",93.11,125,"1861-03-22; Loan of Feb 1861"
"E.A. Benedict","New York","NY",93.1,126,"1861-03-22; Loan of Feb 1861"
"Northwestern Bank of Pennsylvania","New York","NY",93.1,127,"1861-03-22; Loan of Feb 1861"
"Bliss, Williams & Co.","New York","NY",93.0833333333333,128,"1861-03-22; Loan of Feb 1861"
"S.S. Richards","New York","NY",93.07,129,"1861-03-22; Loan of Feb 1861"
"R.R. Graves & Co","New York","NY",93.0566666666667,130,"1861-03-22; Loan of Feb 1861"
"Clark, Dodge & Co","New York","NY",93.0531060606061,131,"1861-03-22; Loan of Feb 1861"
"Clarkson Brothers","New York","NY",93.0530666666667,132,"1861-03-22; Loan of Feb 1861"
"Robert Somerville","New York","NY",93.0434782608696,133,"1861-03-22; Loan of Feb 1861"
"Otis Daniell","Boston","MA",93.0376923076923,134,"1861-03-22; Loan of Feb 1861"
"George P. Bissell & Co","New York","NY",93.01,135,"1861-03-22; Loan of Feb 1861"
"R.R. Robinson & Co","Wilmington","DE",93.01,136,"1861-03-22; Loan of Feb 1861"
"A.T. Lowe","Boston","MA",93,137,"1861-03-22; Loan of Feb 1861"
"Aaron Morrell, Jr. ","Salisbury","MA",93,138,"1861-03-22; Loan of Feb 1861"
"Brothers McKim","New York","NY",93,139,"1861-03-22; Loan of Feb 1861"
"F. H. Tows","New York","NY",93,140,"1861-03-22; Loan of Feb 1861"
"Harris & Co","Philadelphia","PA",93,141,"1861-03-22; Loan of Feb 1861"
"Howe, Mather & Co","New York","NY",93,142,"1861-03-22; Loan of Feb 1861"
"Merchants' Insurance Company","New York","NY",93,143,"1861-03-22; Loan of Feb 1861"
"Kissam & Taylor","New York","NY",92.9925,144,"1861-03-22; Loan of Feb 1861"
"Robert L. Stewart","New York","NY",92.9866666666667,145,"1861-03-22; Loan of Feb 1861"
"Livermore, Clews & Mason","New York","NY",92.9726923076923,146,"1861-03-22; Loan of Feb 1861"
"Robert T. Cross","New York","NY",92.9725,147,"1861-03-22; Loan of Feb 1861"
"Ward & Co.","New York","NY",92.9634648370497,148,"1861-03-22; Loan of Feb 1861"
"Charles Allandree","New York","NY",92.9416666666667,149,"1861-03-22; Loan of Feb 1861"
"American Colonization Society","Washington","DC",92.9375,150,"1861-03-22; Loan of Feb 1861"
"J.G. Hansom","New York","NY",92.898,151,"1861-03-22; Loan of Feb 1861"
"E. Morrison","New York","NY",92.8827272727273,152,"1861-03-22; Loan of Feb 1861"
"Edward Learned","New York","NY",92.8775,153,"1861-03-22; Loan of Feb 1861"
"Emigrant Industrial Savings Bank","New York","NY",92.875,154,"1861-03-22; Loan of Feb 1861"
"Howland & Apsinwall","New York","NY",92.865,155,"1861-03-22; Loan of Feb 1861"
"Ocean Bank","New York","NY",92.8375,156,"1861-03-22; Loan of Feb 1861"
"John. B. Budd","Philadelphia","PA",92.8166666666667,157,"1861-03-22; Loan of Feb 1861"
"Carpenter & Vermilye","New York","NY",92.7925,158,"1861-03-22; Loan of Feb 1861"
"Trevor & Colgate","New York","NY",92.789689119171,159,"1861-03-22; Loan of Feb 1861"
"G.W. Welsh","New York","NY",92.7857142857143,160,"1861-03-22; Loan of Feb 1861"
"John T. Johnson","New York","NY",92.78,161,"1861-03-22; Loan of Feb 1861"
"Satterlee & Co","New York","NY",92.7798333333333,162,"1861-03-22; Loan of Feb 1861"
"Marie & Kanz","New York","NY",92.7688866799205,163,"1861-03-22; Loan of Feb 1861"
"A.A. Burrage, executor","Boston","MA",92.75,164,"1861-03-22; Loan of Feb 1861"
"W.H. Solcum","New York","NY",92.75,165,"1861-03-22; Loan of Feb 1861"
"T.J. Mason","New York","NY",92.7433333333333,166,"1861-03-22; Loan of Feb 1861"
"C.D. Matthews","New York","NY",92.71,167,"1861-03-22; Loan of Feb 1861"
"E.R. Tremaine, for self and others","New York","NY",92.7,168,"1861-03-22; Loan of Feb 1861"
