"newspaper_date","date","description","asset","registered","coupons_on","interest_suspended","issuer","price_low","price_high","original_text","url","comment","past_due","gold_rate","price_gold_low","price_gold_high","series","interest","current_yield_gold","current_yield_currency"
1860-11-29,1860-11-29,"Virginia 6 per cent registered","virginia",1,0,0,"Virginia",86,86,"Virginia 6 per cent. Registered Bonds, sales $86.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0020:article=pos=86","",0,1,86,86,"virginia_reg",6,0.0697674418604651,0.0697674418604651
1860-12-06,1860-12-06,"Richmond City Bonds","richmond",0,0,0,"Richmond",87,87,"Richmond City Bonds, last sales $87","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0023%3Aarticle%3Dpos%3D61","",0,1,87,87,"richmond",6,0.0689655172413793,0.0689655172413793
1860-12-06,1860-12-06,"Virginia 6 per cent registered","virginia",1,0,0,"Virginia",84,84,"Virginia 6 per cent. Registered Bonds sales $34","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0023%3Aarticle%3Dpos%3D61","",0,1,84,84,"virginia_reg",6,0.0714285714285714,0.0714285714285714
1861-01-02,1861-01-02,"Richmond City Bonds","richmond",0,0,0,"Richmond",87.5,87.5,"Richmond City Bonds, sales $87½.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0184:article=pos=115","",0,1.05265927490091,83.1228129427128,83.1228129427128,"richmond",6,0.0721823502789195,0.0685714285714286
1861-01-02,1861-01-02,"Virginia 6 per cent registered bonds","virginia",1,0,0,"Virginia",80,80,"Virginia 6 per cent. Registered Bonds, sales $80.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0184:article=pos=115","",0,1.05265927490091,75.998000404766,75.998000404766,"virginia_reg",6,0.0789494456175683,0.075
1861-01-10,1861-01-10,"Richmond City Bonds","richmond",0,0,0,"Richmond",87.5,89,"Richmond city bonds, sales $87 ½ to $89.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0190:article=pos=86","",0,1.05157490909592,83.2085277455195,84.6349596497284,"richmond",6,0.07149517795553,0.0679886685552408
1861-01-10,1861-01-10,"Virginia 6 per cent registered bonds","virginia",1,0,0,"Virginia",78,80,"Virginia 6 per cent. Registered bonds, sales $78 to $80.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0190:article=pos=86","",0,1.05157490909592,74.1744590188631,76.076368224475,"virginia_reg",6,0.0798664487920952,0.0759493670886076
1861-01-17,1861-01-17,"Richmond City Bonds","richmond",0,0,0,"Richmond",87.5,87.5,"Richmond City Bonds, sales $87 ½","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0196:article=pos=92","",0,1.05082285368402,83.2680786235651,83.2680786235651,"richmond",6,0.0720564242526185,0.0685714285714286
1861-01-17,1861-01-17,"Virginia 6 per cent registered bonds","virginia",1,0,0,"Virginia",78.5,80,"Virginia 6 per cent, Registered Bonds sales $78 ½ to $80. --","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0196:article=pos=92","",0,1.05082285368402,74.7033619651412,76.1308147415452,"virginia_reg",6,0.0795575662095157,0.0757097791798107
1861-01-24,1861-01-24,"Richmond City Bonds","richmond",0,0,0,"Richmond",90,90,"Richmond City Bonds, sales $90.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0029:article=pos=81","",0,1.05056076637349,85.6685333021504,85.6685333021504,"richmond",6,0.0700373844248993,0.0666666666666667
1861-01-24,1861-01-24,"Virginia 6 per cent","virginia",0,0,0,"Virginia",81,81,"Virginia 6 per cent. Registered Bonds, sales $81.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0029:article=pos=81","",0,1.05056076637349,77.1016799719354,77.1016799719354,"virginia_coup",6,0.0778193160276659,0.0740740740740741
1861-01-31,1861-01-31,"Richmond City Bonds","richmond",0,0,0,"Richmond",90,90,"Richmond City Bonds, sales $90.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0035%3Aarticle%3Dpos%3D101","",0,1.05029874443055,85.6899053504973,85.6899053504973,"richmond",6,0.07001991629537,0.0666666666666667
1861-01-31,1861-01-31,"Virginia 6 per cent registered","virginia",1,0,0,"Virginia",81,81,"Virginia 6 per cent. Registered Bonds, sales $81.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0035%3Aarticle%3Dpos%3D101","",0,1.05029874443055,77.1209148154476,77.1209148154476,"virginia_reg",6,0.0777999069948556,0.0740740740740741
1861-02-07,1861-02-07,"Richmond City Bonds   ","richmond",0,0,0,"Richmond",90,90,"Richmond City Bonds, last sales $90.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0039%3Aarticle%3Dpos%3D102","",0,1.05020776518617,85.6973286462472,85.6973286462472,"richmond",6,0.0700138510124113,0.0666666666666667
1861-02-07,1861-02-07,"Virginia 6 per cent registered","virginia",1,0,0,"Virginia",79,80,"Virginia 6 per cent. Registered Bonds, sales $79 held at $80.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0039%3Aarticle%3Dpos%3D102","",0,1.05020776518617,75.2232107005947,76.1754032411086,"virginia_reg",6,0.079260963410277,0.0754716981132075
1861-02-14,1861-02-14,"Richmond City Bonds","richmond",0,0,0,"Richmond",90,90,"Richmond City Bonds, sales $90.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0044%3Aarticle%3Dpos%3D83","",0,1.05014529028509,85.7024269237708,85.7024269237708,"richmond",6,0.070009686019006,0.0666666666666667
1861-02-14,1861-02-14,"Virginia 6 per cent registered","virginia",1,0,0,"Virginia",81,81,"Virginia 6 per cent. Registered Bonds, sales $81.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0044%3Aarticle%3Dpos%3D83","",0,1.05014529028509,77.1321842313937,77.1321842313937,"virginia_reg",6,0.0777885400211178,0.0740740740740741
1861-02-21,1861-02-21,"Richmond City Bonds","richmond",0,0,0,"Richmond",90,90,"Richmond City Bonds, sales $90.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0051%3Aarticle%3Dpos%3D63","",0,1.05017204726442,85.7002433405458,85.7002433405458,"richmond",6,0.070011469817628,0.0666666666666667
1861-02-21,1861-02-21,"Virginia 6 per cent reigstered","virginia",0,0,0,"Virginia",81,81,"Virginia 6 per cent. Registered Bonds, sales $81.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0051%3Aarticle%3Dpos%3D63","",0,1.05017204726442,77.1302190064912,77.1302190064912,"virginia_coup",6,0.0777905220195867,0.0740740740740741
1861-03-07,1861-03-07,"Richmond City Bonds","richmond",0,0,0,"Richmond",90,90,"Richmond City Bonds, last sales $90.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0062:article=pos=73","",0,1.0503990379511,85.6817235624599,85.6817235624599,"richmond",6,0.0700266025300733,0.0666666666666667
1861-03-07,1861-03-07,"Virginia 6 per cent registered","virginia",1,0,0,"Virginia",80.5,80.5,"Virginia 6 per cent. Registered Bonds, sales $80½.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0062:article=pos=73","",0,1.0503990379511,76.6375416308669,76.6375416308669,"virginia_reg",6,0.0782906115243056,0.0745341614906832
1861-03-14,1861-03-14,"Richmond City Bonds","richmond",0,0,0,"Richmond",92,92,"Richmond City Bonds, $92 offered.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0068:article=pos=118","",0,1.05060839214978,87.5683086937345,87.5683086937345,"richmond",6,0.0685179386184639,0.0652173913043478
1861-03-14,1861-03-14,"Virginia 6 per cent registered","virginia",1,0,0,"Virginia",84,84,"Virginia 6 per cent. Registered Bonds, sales $84.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0068:article=pos=118","",0,1.05060839214978,79.9536731551489,79.9536731551489,"virginia_reg",6,0.0750434565821271,0.0714285714285714
1861-03-21,1861-03-21,"Richmond City Bonds","richmond",0,0,0,"Richmond",93,93,"Richmond City Bonds, sales $93.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0074%3Aarticle%3Dpos%3D88","",0,1.05123570715138,88.4673145778217,88.4673145778217,"richmond",6,0.0678216585258955,0.0645161290322581
1861-03-21,1861-03-21,"Virginia 6 per cent registered","virginia",1,0,0,"Virginia",83,84,"Virginia 6 per cent. Registered Bonds, sales $83 to $84.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0074%3Aarticle%3Dpos%3D88","",0,1.05123570715138,78.9547001070882,79.9059615541615,"virginia_reg",6,0.07553789512465,0.0718562874251497
1861-04-04,1861-04-04,"Richmond City Bonds","richmond",0,0,0,"Richmond",94,94,"Richmond City Bonds, last sales $54.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0086%3Aarticle%3Dpos%3D92","Probably an OCR error; changed to 94.",0,1.05339516222009,89.2352683696493,89.2352683696493,"richmond",6,0.0672379890778781,0.0638297872340425
1861-04-04,1861-04-04,"Virginia 6 per cent registered","virginia",1,0,0,"Virginia",62,81,"Virginia 6 per cent. Registered Bonds, sales $81 to $62.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0086%3Aarticle%3Dpos%3D92","",0,1.05339516222009,58.8573046693432,76.8942206163999,"virginia_reg",6,0.0883967968296579,0.0839160839160839
1861-04-04,1861-04-04,"Virginia 6 per cent registered bonds","virginia",1,0,0,"Virginia",81,62,"sales","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0086:article=pos=92","",0,1.05339516222009,76.8942206163999,58.8573046693432,"virginia_reg",6,0.0883967968296579,0.0839160839160839
1861-04-11,1861-04-11,"Richmond City Bonds","richmond",0,0,0,"Richmond",94,94,"last sales","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0092:article=pos=70","",0,1.05588045116227,89.0252299836867,89.0252299836867,"richmond",6,0.0673966245422725,0.0638297872340425
1861-04-11,1861-04-11,"Virginia 6 per cent registered bonds","virginia",1,0,0,"Virginia",77,80,"sales","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0092:article=pos=70","",0,1.05588045116227,72.9249224334455,75.7661531776057,"virginia_reg",6,0.0807042383053964,0.0764331210191083
1861-04-18,1861-04-18,"Richmond City Bonds","richmond",0,0,0,"Richmond",94,94,"last sales","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0098:article=pos=110","",0,1.06077427319639,88.61451712696,88.61451712696,"richmond",6,0.0677089961614717,0.0638297872340425
1861-04-18,1861-04-18,"Virginia 6 per cents","virginia",0,0,0,"Virginia",65,65,"sales","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0098:article=pos=110","",0,1.06077427319639,61.2759958856638,61.2759958856638,"virginia_coup",6,0.0979176252181283,0.0923076923076923
1861-04-25,1861-04-25,"Richmond City Bonds","richmond",0,0,0,"Richmond",94,94,"last sales","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0103:article=pos=104","",0,1.06891771069318,87.9394167199664,87.9394167199664,"richmond",6,0.0682287900442455,0.0638297872340425
1861-04-25,1861-04-25,"Virginia 6 per cents","virginia",0,0,0,"Virginia",65,65,"sales","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0103:article=pos=104","",0,1.06891771069318,60.809171136147,60.809171136147,"virginia_coup",6,0.0986693271409089,0.0923076923076923
1861-05-02,1861-05-02,"Richmond City Bonds","richmond",0,0,0,"Richmond",85,85,"Richmond City Bonds, last sales offered at $85","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0109%3Aarticle%3Dpos%3D111","",0,1.07725893105829,78.9039640789951,78.9039640789951,"richmond",6,0.0760418068982322,0.0705882352941176
1861-05-02,1861-05-02,"Virginia 6 per cent registered","virginia",1,0,0,"Virginia",59,60,"Virginia 6 per cent. Registered Bonds, sales $59@$60.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0109%3Aarticle%3Dpos%3D111","",0,1.07725893105829,54.768633890126,55.6969158204671,"virginia_reg",6,0.10863115271176,0.100840336134454
1861-05-09,1861-05-09,"Richmond City Bonds","richmond",0,0,0,"Richmond",85,85,"last sales offered","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0115:article=pos=91","",0,1.08648353438956,78.2340434158141,78.2340434158141,"richmond",6,0.0766929553686748,0.0705882352941176
1861-05-09,1861-05-09,"Virginia 6 per cent registered bonds","virginia",1,0,0,"Virginia",59,60,"sales","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0115:article=pos=91","",0,1.08648353438956,54.3036301356827,55.224030646457,"virginia_reg",6,0.109561364812393,0.100840336134454
1861-05-16,1861-05-16,"Richmond City Bonds","richmond",0,0,0,"Richmond",85,85,"offered","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0121:article=pos=98","",0,1.09518321249472,77.6125848444831,77.6125848444831,"richmond",6,0.0773070502937449,0.0705882352941176
1861-05-16,1861-05-16,"Virginia 6 per cent registered bonds","virginia",1,0,0,"Virginia",59,60,"sales","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0121:article=pos=98","",0,1.09518321249472,53.8722647744059,54.7853540078704,"virginia_reg",6,0.110438643276779,0.100840336134454
1862-01-16,1862-01-16,"Confederate States Bonds (100 mn)","confederate_100mn",0,0,0,"Confederacy",100,100,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43","",0,1.26132707050828,79.2815775845537,79.2815775845537,"confederate_100mn",8,0.100906165640662,0.08
1862-01-16,1862-01-16,"Confederate States Bonds (15 mn)","confederate_15mn",0,0,0,"Confederacy",101,101,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43","",0,1.26132707050828,80.0743933603992,80.0743933603992,"confederate_15mn",8,0.0999070946937251,0.0792079207920792
1862-01-16,1862-01-16,"North Carolina State Bonds","north_carolina_6_old",0,0,0,"North Carolina",87,87,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43","",0,1.26132707050828,68.9749724985617,68.9749724985617,"north_carolina_6pct_old",6,0.0869880738281572,0.0689655172413793
1862-01-16,1862-01-16,"Petersburg City Bonds","petersburg",0,0,0,"Petersburg",92.5,92.5,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43","",0,1.26132707050828,73.3354592657121,73.3354592657121,"petersburg",6,0.0818158099789155,0.0648648648648649
1862-01-16,1862-01-16,"Richmond City Bonds","richmond",0,0,0,"Richmond",95,95,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43","",0,1.26132707050828,75.317498705326,75.317498705326,"richmond",6,0.0796627623478914,0.0631578947368421
1862-01-16,1862-01-16,"Virginia 6 per cent registered bonds","virginia",1,0,0,"Virginia",85.5,85.5,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0376:article=pos=43","OCR error?",0,1.26132707050828,67.7857488347934,67.7857488347934,"virginia_reg",6,0.088514180386546,0.0701754385964912
1862-01-23,1862-01-23,"Confederate States Bonds (100 mn)","confederate_100mn",0,0,0,"Confederacy",100,100,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0385:article=pos=50","",0,1.27550849572885,78.4001050050694,78.4001050050694,"confederate_100mn",8,0.102040679658308,0.08
1862-01-23,1862-01-23,"North Carolina State Bonds","north_carolina_6_old",0,0,0,"North Carolina",87.5,87.5,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0385:article=pos=50","",0,1.27550849572885,68.6000918794358,68.6000918794358,"north_carolina_6pct_old",6,0.0874634397071211,0.0685714285714286
1862-01-23,1862-01-23,"Richmond City Bonds","richmond",0,0,0,"Richmond",95,95,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0385:article=pos=50","",0,1.27550849572885,74.480099754816,74.480099754816,"richmond",6,0.0805584313091905,0.0631578947368421
1862-01-23,1862-01-23,"Virginia State Stock","virginia",0,0,0,"Virginia",86,86,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0385:article=pos=50","",0,1.27550849572885,67.4240903043597,67.4240903043597,"virginia_coup",6,0.0889889648182919,0.0697674418604651
1862-01-30,1862-01-30,"Confederate States Bonds (100 mn)","confederate_100mn",0,0,0,"Confederacy",100,100,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0388:article=pos=38","",0,1.27970614568113,78.1429395627185,78.1429395627185,"confederate_100mn",8,0.10237649165449,0.08
1862-01-30,1862-01-30,"North Carolina State Bonds","north_carolina_6_old",0,0,0,"North Carolina",87.5,87.5,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0388:article=pos=38","",0,1.27970614568113,68.3750721173787,68.3750721173787,"north_carolina_6pct_old",6,0.0877512785609918,0.0685714285714286
1862-01-30,1862-01-30,"Richmond City Bonds","richmond",0,0,0,"Richmond",98,98,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0388:article=pos=38","",0,1.27970614568113,76.5800807714641,76.5800807714641,"richmond",6,0.0783493558580284,0.0612244897959184
1862-01-30,1862-01-30,"Virginia State Stock","virginia",0,0,0,"Virginia",86,86,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0388:article=pos=38","",0,1.27970614568113,67.2029280239379,67.2029280239379,"virginia_coup",6,0.0892818241172881,0.0697674418604651
1862-02-06,1862-02-06,"Confederate Bonds (100 mn)","confederate_100mn",0,0,0,"Confederacy",100,100,"Confederate States bonds--$100,000,000 issue--100 and interest.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0394:article=pos=41","",0,1.29832940788945,77.0220557220212,77.0220557220212,"confederate_100mn",8,0.103866352631156,0.08
1862-02-06,1862-02-06,"Confederate (5 mn)","confederate_15mn",0,0,0,"Confederacy",100,100,"Confederate State Bonds--$5,000,000--$100 and interest.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0394:article=pos=41","",0,1.29832940788945,77.0220557220212,77.0220557220212,"confederate_15mn",8,0.103866352631156,0.08
1862-02-06,1862-02-06,"North Carolina State Bonds","north_carolina_6_old",0,0,0,"North Carolina",87,87,"North Carolina State bonds — sales 87","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0394:article=pos=41","",0,1.29832940788945,67.0091884781584,67.0091884781584,"north_carolina_6pct_old",6,0.0895399591647897,0.0689655172413793
1862-02-06,1862-02-06,"Petersburg City Bonds","petersburg",0,0,0,"Petersburg",92.5,92.5,"Petersburg City Bonds — sales 92½","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0394:article=pos=41","",0,1.29832940788945,71.2454015428696,71.2454015428696,"petersburg",6,0.0842159615928292,0.0648648648648649
1862-02-06,1862-02-06,"Richmond City Bonds","richmond",0,0,0,"Richmond",98,98,"Richmond City bonds — sales 98.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0394:article=pos=41","",0,1.29832940788945,75.4816146075808,75.4816146075808,"richmond",6,0.0794895555850684,0.0612244897959184
1862-02-06,1862-02-06,"Virginia 6 per cent registered bonds","virginia",1,0,0,"Virginia",86,86,"Virginia 6 per cent. Registered Bonds, sales at 56.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0394:article=pos=41","OCR error?",0,1.29832940788945,66.2389679209382,66.2389679209382,"virginia_reg",6,0.0905811214806593,0.0697674418604651
1862-02-17,1862-02-17,"Confederate States Bonds (100 mn)","confederate_100mn",0,0,0,"Confederacy",100,100,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0403:article=pos=49","",0,1.37843093592821,72.5462534201337,72.5462534201337,"confederate_100mn",8,0.110274474874257,0.08
1862-02-17,1862-02-17,"Confederate States Bonds (5 mn)","confederate_15mn",0,0,0,"Confederacy",100.5,100.5,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0403:article=pos=49","",0,1.37843093592821,72.9089846872344,72.9089846872344,"confederate_15mn",8,0.109725845646027,0.0796019900497512
1862-02-17,1862-02-17,"North Carolina State Bonds","north_carolina_6_old",0,0,0,"North Carolina",98,98,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0403:article=pos=49","",0,1.37843093592821,71.095328351731,71.095328351731,"north_carolina_6pct_old",6,0.0843937307711149,0.0612244897959184
1862-02-17,1862-02-17,"Petersburg City Bonds","petersburg",0,0,0,"Petersburg",92.5,92.5,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0403:article=pos=49","",0,1.37843093592821,67.1052844136237,67.1052844136237,"petersburg",6,0.0894117363845326,0.0648648648648649
1862-02-17,1862-02-17,"Richmond City Bonds","richmond",0,0,0,"Richmond",98,98,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0403:article=pos=49","",0,1.37843093592821,71.095328351731,71.095328351731,"richmond",6,0.0843937307711149,0.0612244897959184
1862-02-17,1862-02-17,"Virginia 6 per cent registered bonds","virginia",1,0,0,"Virginia",86,86,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0403:article=pos=49","",0,1.37843093592821,62.389777941315,62.389777941315,"virginia_reg",6,0.0961696001810379,0.0697674418604651
1862-02-26,1862-02-26,"Confederate States Bonds (100 mn)","confederate_100mn",0,0,0,"Confederacy",100,100,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0411:article=pos=53","",0,1.44104109059886,69.3942738013408,69.3942738013408,"confederate_100mn",8,0.115283287247909,0.08
1862-02-26,1862-02-26,"Confederate States Bonds (5 mn)","confederate_15mn",0,0,0,"Confederacy",100.5,100.5,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0411:article=pos=53","",0,1.44104109059886,69.7412451703475,69.7412451703475,"confederate_15mn",8,0.114709738555133,0.0796019900497512
1862-02-26,1862-02-26,"North Carolina State Bonds","north_carolina_6_old",0,0,0,"North Carolina",,,"North Carolina State bonds — sales 37½","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0411:article=pos=53","OCR error",0,1.44104109059886,,,"north_carolina_6pct_old",6,,
1862-02-26,1862-02-26,"Petersburg City Bonds","petersburg",0,0,0,"Petersburg",92.5,92.5,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0411:article=pos=53","",0,1.44104109059886,64.1897032662402,64.1897032662402,"petersburg",6,0.0934729356064125,0.0648648648648649
1862-02-26,1862-02-26,"Richmond City Bonds","richmond",0,0,0,"Richmond",98,98,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0411:article=pos=53","",0,1.44104109059886,68.0063883253139,68.0063883253139,"richmond",6,0.088227005546869,0.0612244897959184
1862-02-26,1862-02-26,"Virginia 6 per cent registered bonds","virginia",1,0,0,"Virginia",86,86,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0411:article=pos=53","",0,1.44104109059886,59.6790754691531,59.6790754691531,"virginia_reg",6,0.100537750506897,0.0697674418604651
1862-02-27,1862-02-27,"Confederate States Bonds (100 mn)","confederate_100mn",0,0,0,"Confederacy",99,99,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0412:article=pos=36","",0,1.44965572258386,68.2920768412122,68.2920768412122,"confederate_100mn",8,0.117143896774453,0.0808080808080808
1862-02-27,1862-02-27,"Confederate States Bonds (100 mn)","confederate_100mn",0,0,0,"Confederacy",99,99,"","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0414:article=pos=40","",0,1.44965572258386,68.2920768412122,68.2920768412122,"confederate_100mn",8,0.117143896774453,0.0808080808080808
