url,page,year,country,denomination,weight,fineness,value,value_deduction
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1865.pdf,248,1865,"Germany, north","Ten thaler, Prussian",0.427,903,797.07,793.09
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1865.pdf,248,1865,"Germany, north","Krone, (crown)",0.357,900,664.2,660.88
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1865.pdf,248,1865,"Germany, south",Ducat,0.112,986,228.28,227.14
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1865.pdf,248,1865,Netherlands,Ten guilders,0.215,899,399.56,397.57
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1865.pdf,248,1865,Prussia,New union crown (assumed),0.357,900,664.19,660.87
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1866.pdf,248,1866,England,"Pound or sovereign, new",0.2567,916.5,486.34,483.91
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1866.pdf,248,1866,England,"Pound or sovereign, average",0.2562,916,484.92,482.5
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1866.pdf,248,1866,France,"Twenty francs, new",0.2075,899.5,385.83,383.91
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1866.pdf,248,1866,France,"Twenty francs, average",0.207,899,384.69,382.77
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1866.pdf,248,1866,"Germany, north",Ten thaler,0.427,895,790.01,786.06
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1866.pdf,248,1866,"Germany, north","Ten thaler, Prussian",0.427,903,797.07,793.09
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1866.pdf,248,1866,"Germany, north","Krone, (crown)",0.357,900,664.2,660.88
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1866.pdf,248,1866,"Germany, south",Ducat,0.112,986,228.28,227.14
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1866.pdf,248,1866,Netherlands,Ten guilders,0.215,899,399.56,397.57
https://fraser.stlouisfed.org/docs/publications/treasar/AR_TREASURY_1866.pdf,248,1866,Prussia,New union crown (assumed),0.357,900,664.19,660.87
