"date","series","issue","url","volume","is_clean","adjust_gold","adjust_currency","notes","gold_rate","price_currency","price_gold"
1855-04-13,"Missouri 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,93.5,93.5
1855-04-13,"Ohio 6 per cents, 1875","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,111,111
1855-04-13,"Pennsylvania 5 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,86.75,86.75
1855-04-13,"Virginia 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,96.75,96.75
1855-04-13,"U.S. 6 per cents, 1867-8","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,117.25,117.25
1855-04-20,"California 7 per cents, 1870","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"No year listed, but set to 1870 because that is what is quoted in the tables starting in 1855.",1,90.5,90.5
1855-04-20,"Kentucky 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,103,103
1855-04-20,"Georgia 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,1,0,0,"",1,99,99
1855-04-20,"Louisiana 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,89,89
1855-04-20,"Indiana 5 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,83.75,83.75
1855-04-20,"Missouri 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,92.75,92.75
1855-04-20,"Ohio 6 per cents, 1875","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,110,110
1855-04-20,"Pennsylvania 5 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,86.25,86.25
1855-04-20,"Virginia 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,96.75,96.75
1855-04-20,"U.S. 6 per cents, 1867-8","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,118.25,118.25
1855-07-13,"California 7 per cents, 1870","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,86,86
1855-07-13,"Kentucky 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,100,100
1855-07-13,"Georgia 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,1,0,0,"",1,98,98
1855-07-13,"Louisiana 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,96.25,96.25
1855-07-13,"Indiana 5 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,85.5,85.5
1855-07-13,"Missouri 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,95.75,95.75
1855-07-13,"North Carolina 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,97,97
1855-07-13,"Ohio 6 per cents, 1875","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,111,111
1855-07-13,"Pennsylvania 5 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,87,87
1855-07-13,"Virginia 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,99,99
1855-07-13,"U.S. 6 per cents, 1867-8","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,120.25,120.25
1855-07-20,"California 7 per cents, 1870","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,85.75,85.75
1855-07-20,"Kentucky 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,100.25,100.25
1855-07-20,"Georgia 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,1,0,0,"",1,98,98
1855-07-20,"Louisiana 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,93.875,93.875
1855-07-20,"Indiana 5 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,84,84
1855-07-20,"Missouri 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,95,95
1855-07-20,"North Carolina 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,97.5,97.5
1855-07-20,"Ohio 6 per cents, 1875","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,111,111
1855-07-20,"Pennsylvania 5 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,88.5,88.5
1855-07-20,"Virginia 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,97,97
1855-07-20,"U.S. 6 per cents, 1867-8","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,120,120
1855-07-27,"California 7 per cents, 1870","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,87,87
1855-07-27,"Kentucky 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,100.5,100.5
1855-07-27,"Georgia 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,1,0,0,"",1,98,98
1855-07-27,"Louisiana 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,94,94
1855-07-27,"Indiana 5 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,84.5,84.5
1855-07-27,"Missouri 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,95,95
1855-07-27,"North Carolina 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,97,97
1855-07-27,"Ohio 6 per cents, 1875","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,112,112
1855-07-27,"Pennsylvania 5 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,88.5,88.5
1855-07-27,"Virginia 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,97.5,97.5
1855-07-27,"U.S. 6 per cents, 1867-8","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,120.25,120.25
1855-08-03,"California 7 per cents, 1870","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,86.75,86.75
1855-08-03,"Kentucky 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,101.5,101.5
1855-08-03,"Georgia 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,1,0,0,"",1,98,98
1855-08-03,"Louisiana 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,95,95
1855-08-03,"Indiana 5 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,85.75,85.75
1855-08-03,"Missouri 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,95.5,95.5
1855-08-03,"North Carolina 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,99,99
1855-08-03,"Ohio 6 per cents, 1875","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,111.5,111.5
1855-08-03,"Pennsylvania 5 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,88.5,88.5
1855-08-03,"Virginia 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,98.25,98.25
1855-08-03,"U.S. 6 per cents, 1867-8","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,120.25,120.25
1855-08-10,"California 7 per cents, 1870","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,86.875,86.875
1855-08-10,"Kentucky 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,101.5,101.5
1855-08-10,"Georgia 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,1,0,0,"",1,99,99
1855-08-10,"Louisiana 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,95.5,95.5
1855-08-10,"Indiana 5 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,86.25,86.25
1855-08-10,"Missouri 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,95.375,95.375
1855-08-10,"North Carolina 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,99,99
1855-08-10,"Ohio 6 per cents, 1875","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,111,111
1855-08-10,"Pennsylvania 5 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,87.75,87.75
1855-08-10,"Virginia 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,98,98
1855-08-10,"U.S. 6 per cents, 1867-8","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,119.5,119.5
1855-08-17,"California 7 per cents, 1870","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,87.125,87.125
1855-08-17,"California 7 per cents, 1870","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,87.5,87.5
1855-08-17,"Kentucky 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,101,101
1855-08-17,"Kentucky 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,101,101
1855-08-17,"Georgia 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,1,0,0,"",1,99,99
1855-08-17,"Georgia 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,1,0,0,"",1,99,99
1855-08-17,"Louisiana 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,95,95
1855-08-17,"Louisiana 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,95,95
1855-08-17,"Indiana 5 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,86.25,86.25
1855-08-17,"Indiana 5 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,86.25,86.25
1855-08-17,"Missouri 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,95,95
1855-08-17,"Missouri 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,95,95
1855-08-17,"North Carolina 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,99.5,99.5
1855-08-17,"North Carolina 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,99.5,99.5
1855-08-17,"Ohio 6 per cents, 1875","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,112,112
1855-08-17,"Ohio 6 per cents, 1875","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,112,112
1855-08-17,"Pennsylvania 5 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,87.5,87.5
1855-08-17,"Pennsylvania 5 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,87.75,87.75
1855-08-17,"U.S. 6 per cents, 1867-8","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,117.5,117.5
1855-08-17,"Virginia 6 per cents","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,98.25,98.25
1855-08-17,"Virginia 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,98.25,98.25
1855-08-17,"U.S. 6 per cents, 1867-8","1855-08-24","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246",10,0,0,0,"",1,117.5,117.5
1855-08-24,"California 7 per cents, 1870","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,87,87
1855-08-24,"Kentucky 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,101,101
1855-08-24,"Georgia 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,1,0,0,"",1,100,100
1855-08-24,"Louisiana 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,94.5,94.5
1855-08-24,"Indiana 5 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,86,86
1855-08-24,"Missouri 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,94.5,94.5
1855-08-24,"North Carolina 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,99,99
1855-08-24,"Ohio 6 per cents, 1875","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,112.5,112.5
1855-08-24,"Pennsylvania 5 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,87.25,87.25
1855-08-24,"U.S. 6 per cents, 1867-8","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,117.5,117.5
1855-08-24,"Virginia 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,98.25,98.25
1855-08-31,"California 7 per cents, 1870","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,87,87
1855-08-31,"Kentucky 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,101,101
1855-08-31,"Georgia 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,1,0,0,"",1,99,99
1855-08-31,"Louisiana 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,94.5,94.5
1855-08-31,"Indiana 5 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,84,84
1855-08-31,"Missouri 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,93.5,93.5
1855-08-31,"North Carolina 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,100,100
1855-08-31,"Ohio 6 per cents, 1875","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,113,113
1855-08-31,"Pennsylvania 5 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,87.5,87.5
1855-08-31,"U.S. 6 per cents, 1867-8","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,117.5,117.5
1855-08-31,"Virginia 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,98,98
1855-09-07,"California 7 per cents, 1870","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,88,88
1855-09-07,"Kentucky 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,101,101
1855-09-07,"Georgia 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,1,0,0,"",1,99,99
1855-09-07,"Louisiana 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,98,98
1855-09-07,"Indiana 5 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,84.5,84.5
1855-09-07,"Missouri 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,93.75,93.75
1855-09-07,"North Carolina 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,99,99
1855-09-07,"Ohio 6 per cents, 1875","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,113.25,113.25
1855-09-07,"Pennsylvania 5 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,87.25,87.25
1855-09-07,"U.S. 6 per cents, 1867-8","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,117.25,117.25
1855-09-07,"Virginia 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,98.25,98.25
1855-09-14,"California 7 per cents, 1870","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,87.5,87.5
1855-09-14,"Kentucky 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,101,101
1855-09-14,"Georgia 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,1,0,0,"",1,99,99
1855-09-14,"Louisiana 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,93,93
1855-09-14,"Indiana 5 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,83.5,83.5
1855-09-14,"Missouri 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,92.5,92.5
1855-09-14,"North Carolina 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,99.5,99.5
1855-09-14,"Ohio 6 per cents, 1875","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,114,114
1855-09-14,"Pennsylvania 5 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,86.25,86.25
1855-09-14,"U.S. 6 per cents, 1867-8","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,117.75,117.75
1855-09-14,"Virginia 6 per cents","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,98.5,98.5
1855-09-21,"California 7 per cents, 1870","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,0,0,0,"",1,87,87
